 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 87.60   8201   1.000 HM49KL     RTP Antena 1,Santa Cruz das Flores/Ponta Ruiva (FLO) 
       V 8201   1.000 HM58VR     RTP Antena 1,Macela (SJO) 
 87.70 V 8204  30.000 HM77GS     RTP Antena 3,Pico da Barrosa (RDP) (SMG) 
 88.30          0.050 HM58VJ     Radio Clube de Lajes do Pico,Pico do Geraldo (PIC) 
 88.50 M 84CB   3.000 HM77GS     Radio Atlantida,Pico da Barrosa (SMG) 
 88.90 C 8201   9.100 HM58PO     RTP Antena 1,Horta/Cabeço Gordo (FAI) 
 89.10          0.050 HM77GT     Radio Nova Cidade,Ribeira Grande/Ponta do Cintrao (SMG) 
 89.20 V 8202   0.900 HM68KR     RTP Antena 2,Serra do Cume (TCE) 
 89.50 M 8201  10.000 HM77CU     RTP Antena 1,Pico das Éguas (SMG) 
 89.60   8409   0.050 HM68IS     Radio Clube de Angra,Angra do Heroismo / Pico Matias Simao (TCE) 
 89.90 M 8202   0.500 HM77KS     RTP Antena 2,Pico Bartolomeu (Povoaçao) (SMG) 
 90.00 V        0.050 HM58WP     Radio Lumena,Velas / Manadas (SJO) 
 90.20   84F7   0.500 HM77GS     R80 Radio,Pico da Barrosa (SMG) 
       V        0.050 HM58SK     Radio Pico,Sao Mateus (PIC) 
 90.50 H 8201  35.000 HM68IR     RTP Antena 1,Serra de Santa Barbara (TCE) 
 90.80          0.050 HM58VR     Radio Cais,Velas/Rosais (SJO) (c)
 91.00 M 847F   0.500 HM77GS     Canal FM,Pico da Barrosa (SMG) 
 91.30 V        0.500 HM58PO     Antena 9,Horta/Cabeço Gordo (FAI) 
 91.50   847F   0.050 HM77KS     Canal FM,Pico Bartolomeu (Povoaçao) (SMG) 
 91.80 V 8202   1.000 HM77JT     RTP Antena 2,Nordestinho (SMG) 
 91.90 M 8202   1.000 HM49JL     RTP Antena 2,Morro Alto (FLO) 
                0.050 HM58WP     Radio Clube de Lajes do Pico,Urzelina (SJO) 
 92.20 M 8201   1.000 HM77CT     RTP Antena 1,Cascalho Negro (SMG) 
       M        0.500 HM59XC     ,Canhada da Graciosa (GCI) (p)
       V        0.050 HM69AA     Radio Lumena,Santa Cruz da Graciosa / Luz (GCI) 
 92.40 M 8413   0.050 HM68KR     Top FM,Serra do Cume (TCE) 
 92.70 M 8201   0.500 HM77KS     RTP Antena 1,Pico Bartolomeu (Povoaçao) (SMG) 
       M 8459   0.050 HM58RM     Canal FM,Madalena (PIC) 
 92.90 V 8202   1.000 HM58OO     RTP Antena 2,Pico Verde (Cabeço Verde) (FAI) 
 93.00 M 84CB   0.050 HM77CT     Radio Atlantida,Cascalho Negro (SMG) 
 93.20 V 8202   1.000 HM58VR     RTP Antena 2,Macela (SJO) 
 93.50 M 8201   1.000 HM49JL     RTP Antena 1,Morro Alto (FLO) 
       V 8202   1.000 HM58VJ     RTP Antena 2,Lajes do Pico (PIC) 
         80C4   0.150 HM68KR     Radio Lajes,Serra do Cume (TCE) 
 93.60 V 8201   0.500 HM77IS     RTP Antena 1,Furnas (Povoaçao) (SMG) 
 93.80 V 8201   0.030 HM58QN     RTP Antena 1,Horta/Espalamaca (FAI) 
 94.10 V 8201   0.300 HM77ES     RTP Antena 1,Ponta Delgada / R. do Castelo Branco (RTP) (SMG) 
 94.20   8204   0.500 HM77JS     RTP Antena 3,Povoaçao (SMG) 
 94.40 M        0.050 HM58OO     Antena 9,Pico Verde (Cabeço Verde) (FAI) 
 94.50 V 8201   0.300 HM58VJ     RTP Antena 1,Arrife (PIC) 
