 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.04                           LZ0SIX,Sofia KN12QP 
 50.04 V        0.002            LZ0SJB,Sliven KN32DR 
 50.05                           LZ0MON,Montana KN13OJ 
 50.06 H        0.001            LZ0SIX,Sliven KN32ER 
 50.06                           LZ1WF,Plovdiv KN22HI 
 69.80          3.000 KN33KM     ,Shumen/RRTS Venets (SHM) (c)
 87.60 H 8236 100.000 KN33KM     BNR Radio Shumen,Shumen/RRTS Venets (SHM) 
       V 8384   3.000 KN32UP     Radio Fresh!,Nesebar/Slancev briag-h.Burgas biyc (BUR) 
         8210   2.000 KN11TX     BNR Horizont,Babyak (BLG) 
       V 8069   1.500 KN12OQ     Radio Zorana,Sofia/kv. Gorna banya (SFG) 
         8210   1.000 KN23ER     BNR Horizont,Baykal (PLV) (p)
       V 8210   0.270 KN13OT     BNR Horizont,Lom/RRS Lom (MNT) 
       V 838C   0.142 KN23ID     Radio City,Lovech/RRTS Stratesh (LOV) 
       V 805D   0.100 KN21SW     Radio Metronom,Haskovo/Sgradata na SBA (HSK) 
 87.70 V 8383   3.000 KN43EJ     Radio Veselina,Kavarna/RPS Kaliakra (DOB) 
       V 8381   0.630 KN22EC     Radio 1,Pazardzik/RPTS VETS Aleko [Deva broadcast] (PZK) 
         8210   0.250 KN22DV     BNR Horizont,Teteven/RRS Teteven-1 (LOV) 
 87.80 V 8210   5.623 KN32ER     BNR Horizont,Sliven/RRTS Karandila (SLI) 
         8220   1.000 KN12NG     BNR Hristo Botev,Dupnitsa/RTS Loven dom (KYD) 
 87.90   824D   1.000 KN11PO     Darik Radio,Sandanski/Voden izravnitel-mestnost Kartalovets (BLG) 
       V 8381   0.322 KN21NI     Radio 1,Zlatograd (SMO) 
       H 8386   0.300 KN23HJ     Z-Rock,Pleven/kv. Druzba-RRTS Pleven (PLV) 
       V 837F   0.200 KN13SE     Radio Focus,Vratsa/Hiza Vestitel (VRT) 
         837E   0.200 KN12WI     Radio N-Joy,Ihtiman/Trayanovi Vrata (SOF) 
 88.00 V 8091   1.935 KN32WC     Power FM,Tsarevo/Papia [NURTS Ahtopol] (BUR) 
         8040   0.500 KN12QQ     Radio Alma Mater/Classic FM,Sofia/bul. Peyo K. Yavorov-TV kula [NURTS Yavorov] (SFG) 
       V 8210   0.355 KN32OR     BNR Horizont,Aytos/RRTS Hisarlaka (BUR) 
       V 8210   0.316 KN21ES     BNR Horizont,Devin/Grebenets-RRS Devin (SMO) 
         837F   0.050 KN11ST     Radio Focus,Dobriniste/Hotel Dobriniste (BLG) 
 88.10 V 8210  91.200 KN43EJ     BNR Horizont,Kavarna/RPS Kaliakra (DOB) 
       V 8210   3.090 KN22IA     BNR Horizont,Plovdiv/RRTS Zdravets (PLD) 
       V 8383   0.230 KN23UC     Radio Veselina,Veliko Tarnovo/RPTS Rezonans (VLT) 
         837F   0.125 KN11UO     Radio Focus,Gotse Delcev/Vodoprecistvatelna stantsia [Deva broadcast] (BLG) 
 88.20 V 8220  10.000 KN13IP     BNR Hristo Botev,Belogradcik/RRTS Karneva livada [NURTS Belogradchik] (VDN) 
         8398   3.000 KN21JN     The Voice,Smoljan/TVRTS Petrovitsa [NURTS Smoljan] (SMO) 
         8210   1.730 KN33GA     BNR Horizont,Sokolartsi (SLI) 
       V 8210   0.450 KN12TG     BNR Horizont,Samokov/RRS Borovets (SOF) 
 88.30 V 8235   5.495 KN22TL     BNR Radio Stara Zagora,Stara Zagora/NURTS Stara Zagora (STZ) 
       V 838C   1.762 KN11NV     Radio City,Simitli/Vega (BLG) 
       V 8381   0.343 KN33KG     Radio 1,Shumen/RRS 1 [NURTS Shumen] (SHM) 
       V 8234   0.300 KN22BL     BNR Radio Plovdiv,Panagyuriste/TVRS Panagyuriste (PZK) 
 88.40 V 8220   2.162 KN21PK     BNR Hristo Botev,Dzhebel/Starovo (KZL) 
       V 824D   1.000 KN23HJ     Darik Radio,Pleven/Panoramata (PLV) 
         838E   0.500 KN11OJ     Radio Ultra,Petrich/Mladezki dom (BLG) 
         838F   0.250 KN12PP     Bulgaria On Air,Sofia/kv. Boyana-Fokhar 1 (SFG) 
 88.50 V 8233   5.000 KN32TS     BNR Radio Varna,Nesebar/Slancev brig-RRTS Edelvajs (BUR) 
         824D   1.000 KN23LA     Darik Radio,Sevlievo/NURTS Sevlievo (GBV) 
         8210   0.160 KN34HB     BNR Horizont,Tutrakan/RRS Tutrakan (SIL) 
       V 837F   0.150 KN21ES     Radio Focus,Devin/Grebenets-RRS Devin (SMO) 
         8381   0.100 KN23UC     Radio 1,Veliko Tarnovo/RPTS Rezonans (VLT) 
       V 838C   0.100 KN12IG     Radio City,Kjustendil/Vasil Aprilov str. (KYD) 
 88.60   838E   0.200 KN22EE     Radio Ultra,Pazardzik/Sgradata na obstina Pazardzik (PZK) 
 88.70 H 8233   4.000 KN33VN     BNR Radio Varna,Dobrich/RRTS (DOB) 
       V 8386   0.300 KN23ID     Z-Rock,Lovech/RRTS Stratesh (LOV) 
 88.80 V 8220   1.660 KN22BO     BNR Hristo Botev,Panagyuriste/RRTS vrakh Bratija (PZK) 
       V 8381   0.600 KN22TL     Radio 1,Stara Zagora/NURTS Stara Zagora (STZ) 
