 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.07 H        0.010 IL28GD     EA8SIX,Canary Is IL28GD 
 50.41          0.010 IL18CO     ED8YAK,Las Palmas IL18CO 
 87.50   E935         IL18UL     Activos FM,La Laguna (STC-TF) 
         8750         IL18PB     Bomba FM,Los Cristianos/Montana de Guaza (STC-TF) 
         1031         IL38BN     Éxito Radio,Puerto del Rosario/Temejereque (LPM-FU) 
         noPI         IL18SK     La Voz de Canarias-Onda Canaria,La Victoria de Acentejo (STC-TF) (i)
 87.60 M        2.000 IL07XR     7.7 Radio,Frontera/Malpaso (STC-HI) 
         E398   2.000 IL18QJ     7.7 Radio,Los Realejos/La Corona (STC-TF) 
       V        1.200 IL28ED     7.7 Radio,Galdar (LPM-GC) 
         E001   1.000 IL28GA     7.7 Radio,Telde/Cazadores (LPM-GC) 
         E2CE         IL27FT     Cadena 100,San Bartolome / Bahia Feliz-Tabaibas (LPM-GC) 
 87.70 M E212   7.000 IL38BN     RNE Radio Clasica,Puerto del Rosario/Temejereque (LPM-FU) 
         9393         IL18PB     Boogie Bunker Radio,Los Cristianos/Montana de Guaza (STC-TF) 
         5000         IL18PC     Radio Gigante,Adeje/Montana La Concepción (STC-TF) 
         E239         IL18SH     SER,Izana (STC-TF) 
 87.80 V E537   2.000 IL18UL     Cadena Dial,La Laguna (STC-TF) 
                0.100 IL18AS     ,Puntagorda (STC-LP) (p)
 87.90          2.000 IL18CQ     esRadio,Santa Cruz de la Palma/Reventon (STC-LP) 
       M E3C5   1.000 IL27FW     9 Radio ,Santa Lucia/Vecindario (LPM-GC) 
                1.000 IL38CW     Coast FM,Yaiza/Femes-Atalaya de Feme (LPM-LA) 
         7676   0.500 IL18PE     Flamenco Sur Radio,Guia de Isora (STC-TF) 
                      IL18OI     Insular Norte FM,Garachico (STC-TF) 
         37FF         IL18PB     Loca Urban,Los Cristianos/Montana de Guaza (STC-TF) 
         E1CC         IL28HE     Radio Maria,Las Palmas/La Isleta (LPM-GC) 
 88.00 M A000   2.000 IL18CQ     Hit Radio Sol,Santa Cruz de la Palma/Concepción (STC-LP) 
                      IL18UL     Capital Radio,La Laguna (STC-TF) 
         E063         IL18TH     Éxito Radio,Güimar (STC-TF) 
                      IL18SK     Metropolis Radio,La Victoria de Acentejo (STC-TF) (i)
 88.10   noPI   1.000 IL39FA     7.7 Radio,Arrecife/Mina (LPM-LA) 
         E7E0         IL18PB     Canarias Radio,Los Cristianos/Montana de Guaza (STC-TF) 
 88.20 M E0FF   1.000 IL18QB     Radio Tiempo Tenerife,San Miguel/Montana Gorda (STC-TF) 
       V        1.000 IL28TB     ,Pajara/Morro Jable (LPM-FU) (p)
         E073         IL28HE     Radio Marca,Las Palmas/La Isleta (LPM-GC) 
                      IL27FT     Radio Maria,San Bartolome / Bahia Feliz-Tabaibas (LPM-GC) 
         E1CC         IL27FW     Radio Maria,Santa Lucia/Vecindario (LPM-GC) 
 88.30 M E04C   6.000 IL18UK     7.7 Radio,Santa Cruz de Tenerife/M. Ofra (STC-TF) 
       V        1.000 IL38AO     ,La Oliva (LPM-FU) (p)
                0.025 IL18RJ     Carrier,La Orotava (STC-TF) 
         6011         IL18KB     Radio Europa Schlager,San Sebastian de La Gomera (STC-LG) 
 88.40   E215   1.000 IL18BM     RNE Radio 5 Todo Noticias,Fuencaliente de La Palma (STC-LP) 
         E4ED         IL38BN     Swing Latinos FM,Puerto del Rosario/Temejereque (LPM-FU) 
 88.50 H E211   4.000 IL27FT     RNE Radio Nacional,San Bartolome / Bahia Feliz-Tabaibas (LPM-GC) 
         EF12   0.500 IL18CP     7.7 Radio,Brena Alta (STC-LP) 
                0.070 IL18AT     ,Garafia (STC-LP) (p)
                      IL39FD     Capital Radio,Haria (LPM-LA) 
         E597         IL18UK     Capital Radio,Santa Cruz de Tenerife/M. Ofra (STC-TF) 
         6001         IL18KB     Radio europa,San Sebastian de La Gomera (STC-LG) 
         E05D         IL18OH     Radio Europa Tenerife,Santiago del Teide (STC-TF) 
         51CC         IL18TL     Radio Maria,Tacoronte (STC-TF) 
                      IL18QJ     Radio Realejos,Los Realejos/La Corona (STC-TF) 
 88.60 M E215  50.000 IL28HE     RNE Radio 5 Todo Noticias,Las Palmas/La Isleta (LPM-GC) 
       M        0.500 IL38EW     ,Tias (LPM-LA) (p)
 88.70   E1CC         IL18PB     Radio Maria,Los Cristianos/Montana de Guaza (STC-TF) 
 88.80 H E215  10.000 IL18TK     RNE Radio 5 Todo Noticias,El Rosario/La Montaneta (STC-TF) 
                      IL18UL     Capital Radio,La Laguna (STC-TF) 
         E321         IL38BN     Happy FM,Puerto del Rosario/Temejereque (LPM-FU) 
         E0EA         IL28HE     Mas Musica FM,Las Palmas/La Isleta (LPM-GC) 
         E0EA         IL27FW     Mas Musica FM,San Bartolome de Tirajana (LPM-GC) 
         E0EA         IL28GA     Mas Musica FM,Telde/Cazadores (LPM-GC) 
 88.90          0.500 IL18SE     7.7 Radio,Arico/Arico Viejo (STC-TF) 
                0.300 IL18KB     ,San Sebastian de La Gomera (STC-LG) (p)
       M E537   0.200 IL18PB     Cadena Dial,Los Cristianos/Montana de Guaza (STC-TF) 
 89.00   890F   2.000 IL18PI     esRadio,Icod de los Vinos (STC-TF) 
       M        0.800 IL38AF     7.7 Radio,Tuineje/Gran Tarajal (LPM-FU) 
         E04C   0.250 IL39FD     7.7 Radio,Haria (LPM-LA) 
       V C085   0.100 IL28HE     Radio Tinamar,Las Palmas/La Isleta (LPM-GC) 
         103F         IL18TM     Éxito Radio,Tegueste (STC-TF) 
         F0F0         IL27ES     Radio Maria,San Bartolome/El Salobre-Calle Isla de Madeira, 2-16 (LPM-GC) 
                      IL28FD     Radio Moya,Moya / El Altillo (LPM-GC) 
         C080         IL28FA     Radio Tinamar,Vega de San Mateo/Montana Cabreja (LPM-GC) 
 89.10 M E7E0         IL18ID     Canarias Radio,Valle Gran Rey/las Hayas (STC-LG) 
         E2CF         IL18UK     Rock FM,La Laguna / Los Giles (STC-TF) 
 89.20   E063         IL18RJ     Éxito Radio,La Orotava (STC-TF) 
                      IL27HX     Onda Guanche,Telde (LPM-GC) 
         E00B         IL18CQ     Radio 4G,Santa Cruz de la Palma/Concepción (STC-LP) 
                      IL28FD     Radio Diametro,Santa Maria de Guia (LPM-GC) 
         8FC8         IL18QB     Rumberos FM,San Miguel/Montana Gorda (STC-TF) 
 89.30                IL18PE     7.7 Radio,Guia de Isora (STC-TF) 
         E330         IL38AF     Happy FM,Tuineje/Gran Tarajal (LPM-FU) 
 89.40   E2CE   6.000 IL18UK     Cadena 100,Santa Cruz de Tenerife/M. Ofra (STC-TF) 
       M noPI   1.000 IL28HE     Radio Guiniguada,Las Palmas/La Isleta (LPM-GC) 
       V        1.000 IL38AO     ,La Oliva (LPM-FU) (p)
         E239         IL39FA     Cadena Dial,Arrecife/Mina (LPM-LA) 
 89.50 M        2.000 IL28CA     ,La Aldea de San Nicolas (LPM-GC) (p)
         5320   0.020 IL28TB     Happy FM,Pajara/Morro Jable (LPM-FU) 
                      IL18PC     Happy FM,Arona/El Refugio (STC-TF) 
         CDDB         IL18PB     PowerON FM,Los Cristianos/Montana de Guaza (STC-TF) 
 89.60 M        8.000 IL28HE     7.7 Radio,Las Palmas/La Isleta (LPM-GC) 
                2.000 IL27FS     7.7 Radio,San Bartolome/San Agustin-Morro Besudo (LPM-GC) 
       H E215   2.000 IL18CQ     RNE Radio 5 Todo Noticias,Santa Cruz de la Palma/Concepción (STC-LP) 
                      IL18UL     Radial Latino,La Laguna / San Roque (STC-TF) (i)
         6011         IL18OI     Radio Europa,Garachico (STC-TF) 
 89.70 M E239   0.400 IL39FA     SER,Arrecife/Mina (LPM-LA) 
         5158         IL18PB     Radio Atalaya,Arona/Playa de las Americas (STC-TF) 
 89.80 M E215   2.000 IL17BT     RNE Radio 5 Todo Noticias,Valverde (STC-HI) 
       V E215   1.000 IL28XJ     RNE Radio 5 Todo Noticias,Betancuria / Morro Janana (LPM-FU) 
         8750         IL18UK     Flow Radio,Santa Cruz de Tenerife/M. Ofra (STC-TF) 
                      IL18OH     Loca Fun Radio,Santiago del Teide (STC-TF) 
         E05D         IL18SJ     Onda Tenerife,Puerto de la Cruz (STC-TF) 
         CDDB         IL18RB     PowerON FM,San Isidro (STC-TF) 
       M EFFC         IL18UL     Radio 6 Tenerife,La Laguna (STC-TF) 
 89.90   9753         IL27FW     Radio Tamaraceite Onda Parroquial,Santa Lucia/Vecindario (LPM-GC) 
                      IL38BU     SER,Yaiza/Playa Blanca (LPM-LA) 
 90.00 M E213  60.000 IL18SH     RNE Radio 3,Izana (STC-TF) 
 90.10 M E2CF   2.000 IL28GA     Rock FM,Telde/Cazadores (LPM-GC) 
         E968         IL27ES     Radio Planeta,San Bartolome/Playa del Ingles-Edificio Mercurio II (LPM-GC) 
