 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.01 V        0.015            5B4CY,Mandria KM64KU 
 87.50 V 2229   5.000 KM65NH     Radyo Vatan,Lefkosa/Selvilitepe (KIB-GIR) 
         68A1         KM64MS     Astra 92.8 FM,Lemesos(Limassol) / Fasoula (KYP-LEM) 
 87.70   1F2F   0.050 KM65HE     Radio Pyrgos (Kato Pyrgos),Kato Pyrgos (KYP-NIC) 
         2074         KM64KW     Active Radio,Mount Olympos (KYP-LEM) 
 87.80 C 2287  10.000 KM65WJ     Bayrak International,Kantara/Sinan Dagi BRT (KIB-MAG) 
 87.90   22D8         KM75AA     Radio Proto,Paralimni/Mt.Phanos (KYP-FAM) 
 88.00          1.000 KM65NH     Yakin Dogu FM,Lefkosa/Selvilitepe (KIB-GIR) 
 88.20 C 2204  30.000 KM64KW     CyBC-RIK Tetarto Prog.,Mount Olympos (KYP-LEM) 
 88.40   2F88   5.000 KM65NH     Bayrak Klasik,Lefkosa/Selvilitepe BRT (KIB-GIR) 
 88.50   2289   0.300 KM64EX     Kiss FM,Drouseia=Dhrousha (KYP-PAP) 
         2289         KM75AA     Kiss FM,Paralimni/Mt.Phanos (KYP-FAM) 
         2289         KM64MS     Kiss FM,Lemesos(Limassol) / Fasoula (KYP-LEM) 
 88.70   2209         KM64MS     Love FM,Lemesos(Limassol) / Fasoula (KYP-LEM) 
 88.80   2286   1.000 KM65NH     Bayrak FM,Lefkosa/Selvilitepe BRT (KIB-GIR) 
 89.00   2289         KM64FT     Kiss FM,Paphos/Tsada (KYP-PAP) 
         2289         KM64OV     Kiss FM,Vavatsinia (KYP-LAR) 
 89.20   8920   5.000 KM65PH     Radyo Güven,Girne/Agirdag (KIB-GIR) 
         20E9         KM64MS     Rock FM Limassol,Lemesos(Limassol) / Fasoula (KYP-LEM) 
 89.40   22D8         KM64FT     Radio Proto,Paphos/Tsada (KYP-PAP) 
         22D8         KM64MS     Radio Proto,Lemesos(Limassol) / Fasoula (KYP-LEM) 
         22D8         KM64OV     Radio Proto,Vavatsinia (KYP-LAR) 
 89.50   noPI         KM65WJ     Sim FM,Kantara/Sinan Dagi (KIB-MAG) 
 89.60                KM65QF     Bayrak Radyosu,Lefkosa/BRTK (KIB-LEF) 
         2296         KM64MS     Klik FM,Lemesos(Limassol) / Fasoula (KYP-LEM) 
 89.70 H FE02   1.500 KM65QE     BFBS Radio 2,Nicosia (KYP-NIC) 
         FE02         KM65WB     BFBS Radio 2,Agios Nikolaos (KYP-FAM) 
 89.80   2280   1.000 KM65WJ     Radyo Vatan Nihavent,Kantara/Sinan Dagi (KIB-MAG) 
 89.90 H FE01  25.000 KM64MN     BFBS Cyprus,Akrotiri/RAF (KYP-LEM) 
 90.00   3846   1.000 KM65NH     First FM,Lefkosa/Selvilitepe (KIB-GIR) 
         22C8         KM75AA     Sport FM,Paralimni/Mt.Phanos (KYP-FAM) 
 90.20   2204  10.000 KM64OV     CyBC-RIK Tetarto Prog.,Vavatsinia (KYP-LAR) 
         2204   7.000 KM64FT     CyBC-RIK Tetarto Prog.,Paphos/Tsada-RIK (KYP-PAP) 
 90.40   9820   5.000 KM65NH     Radyo Güven,Lefkosa/Selvilitepe (KIB-GIR) 
 90.50   2204   2.000 KM64NS     CyBC-RIK Tetarto Prog.,Armenochori (KYP-LEM) 
         2257         KM64FT     Russkaja Wolna=Russian Wave,Paphos/Tsada (KYP-PAP) 
 90.60 C noPI  10.000 KM65WJ     Bayrak Radyosu,Kantara/Sinan Dagi BRT (KIB-MAG) 
 90.80   8920   5.000 KM65WJ     Radyo Güven,Kantara/Sinan Dagi (KIB-MAG) 
         1023         KM64MS     Mix FM,Lemesos(Limassol) / Fasoula (KYP-LEM) 
         noPI         KM64FT     Sunshine Radio,Paphos/Tsada (KYP-PAP) 
