 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 87.60 H       10.000 KL76DC     ERTU Al-Quran al-Karim,Al-Qusayr=Quseir (BAR) (u)
       H       10.000 KL48LH     ERTU Al-Quran al-Karim,El Bahariya (GZH) 
       H        5.000 KM51VJ     ERTU Al-Quran al-Karim,Dumyat (DYT) 
                      KL68XN     ERTU Al-Quran al-Karim,Saint Catherine (JSN) 
 87.70 H        1.000 KL52TQ     ,Toshka (WJD) (p)
                      KL68MH     Radio Masr,Ras Gharib (BAR) 
 87.80 H       54.500 KM61UC     ERTU Al-Shabab wal Riyadah,El-Arish=Al-Arish (SIN) 
       H FFE1  10.000 KM50PA     Mix FM 87.8,Al-Qahira=Cairo (QAH) 
       H              KL66DB     ERTU Al-Quran al-Karim,Nag Hammadi (QNA) 
 87.90 H       18.000 KL58IC     Radio Masr,Al-Minya=Menya (MNY) 
 88.00 H       58.600 KM41XF     ERTU Al-Moseeky=Music,Al-Iskandariya=Alexandria (AIK) 
       H        7.400 KL77DV     ERTU Al-Moseeky=Music,Sharm el-Sheikh (JSN) 
                      KL45NM     ERTU Al-Quran al-Karim,Dakhla 
 88.10 H        8.700 KM60GA     Radio Masr,Suez (SUZ) 
       H        1.000 KL64KB     ,Asswan (ASN) (p)
 88.20 V F7F8 150.000            Hits,Al-Iskandariya=Alexandria (AIK) 
         F7F8  50.000 KM51LE     Hits,Mahalla (GHB) 
       V F7F8  25.000 KM60DO     Hits,Ismailia (ISM) 
       H A000  10.000 KM40LT     ON Sport,Alamin=el-Alamein (MTH) 
       H F7F8  10.000 KM50PA     Radio Hits,Al-Qahira=Cairo (QAH) 
       H        1.000 KL42IK     ,El Ain (WJD) (p)
 88.40         10.000 KM61DG     Radio Masr,Bur Said=Port Said (PTS) 
                                 ERTU Al-Quran al-Karim,El-Zayat 
                                 ERTU Al-Quran al-Karim,Kharga (WJD) 
 88.50 H        1.000 KL52TQ     ,Toshka (WJD) (p)
 88.60         10.000 KL37XB     Radio Masr,Qasr el-Farafra (WJD) 
       H        8.000 KL67WG     Radio Masr,Hurghada (BAR) 
 88.70 H       58.600 KM41XF     Radio Masr,Al-Iskandariya=Alexandria (AIK) 
       H       38.000 KL56UN     Radio Masr,Sohag (SHJ) 
       H       11.200 KL57NE     Radio Masr,Asyut (AST) 
       H FFFF  10.000 KM50PA     Radio Masr,Al-Qahira=Cairo (QAH) 
                      KL48KI     Radio Masr,Al-Bawiti (GZH) 
                      KL59NB     Radio Masr,Beni Suef (BNS) 
                                 Radio Masr,North Coast 
                      KM41XF     Radio Orient,Al-Iskandariya=Alexandria (AIK) 
 89.00 H       11.900 KL64KB     ERTU Al-Moseeky=Music,Asswan (ASN) 
       H       11.200 KL57NE     ERTU Al-Moseeky=Music,Asyut (AST) 
 89.10                KM21NM     ERTU Al-Quran al-Karim,Sallum (MTH) 
 89.20 H      155.000 KM50NW     ERTU Al-Aghani (Songs),Al-Mahallah (GHB) 
 89.30 H        1.000 KL73TW     ,Ras Banas (BAR) (p)
 89.40 H       11.900 KL68TG     ERTU Al-Shabab wal Riyadah,El Tur=At Tur (JSN) 
 89.50 H      100.000 KM50PA     ERTU Al-Sharq al-Awsat (Mideast),Al-Qahira=Cairo (QAH) 
       H        9.500 KL79IA     ERTU Al-Moseeky=Music,Nuweiba (JSN) 
 89.70 H 3D44  38.000 KL56UN     ERTU Al-Quran al-Karim,Sohag (SHJ) 
 89.80 H       10.000 KL66XS     ERTU Al-Aghani (Songs),Bur Safaga=Port Safaga (BAR) 
                                 ERTU Al-Quran al-Karim,Al-Fayyum (FYM) 
                      KM50NW     Radio Masr,Al-Mahallah (GHB) 
 90.00 H       11.700 KL65HQ     ERTU Al-Moseeky=Music,Al-Uqsur=Luxor (UQR) 
 90.10 H       58.600 KM41XF     ERTU Al-Quran al-Karim,Al-Iskandariya=Alexandria (AIK) 
       H        1.000 KL64KB     Radio Masr,Asswan (ASN) 
       H        1.000 KL52TQ     ,Toshka (WJD) (p)
 90.30                KL65GH     ERTU Al-Quran al-Karim,Esna=Isna (QNA) 
 90.40 H       61.500 KM60DO     Radio Masr,Ismailia (ISM) 
 90.50 H       28.600 KL66IE     ERTU Al-Quran al-Karim,Qena=Qina (QNA) 
 90.60 H        0.300 KL52TH     ERTU Al-Quran al-Karim,Abu Simbil (ASN) 
                      KL29SE     ERTU Al-Quran al-Karim,Siwa (MTH) 
 90.90 H       54.500 KM61UC     ERTU Al-Moseeky=Music,El-Arish=Al-Arish (SIN) 
       H F090  10.000 KM50PA     Radio 9090,Al-Qahira=Cairo (QAH) 
 91.00 H       18.000 KL58IC     ERTU Al-Shabab wal Riyadah,Al-Minya=Menya (MNY) 
 91.10 H        7.400 KL77DV     ERTU Al-Barnameg al-Aam (General),Sharm el-Sheikh (JSN) 
 91.20 H        8.700 KM60GA     ERTU European (Al-Orobi),Suez (SUZ) 
       H        1.000 KL52TH     ,Abu Simbil (ASN) (p)
 91.50 H       20.000 KM50PE     ERTU Al-Barnameg al-Thakafy,Al-Qahira=Cairo (QAH) 
       H       10.000 KM61DG     ERTU Radio Port Said,Bur Said=Port Said (PTS) 
 91.60 H        1.000 KL52TQ     ,Toshka (WJD) (p)
 91.70         10.000 KL37XB     ERTU Regional,Qasr el-Farafra (WJD) 
       H        8.000 KL67WG     ERTU Al-Quran al-Karim,Hurghada (BAR) 
                      KL55GM     ERTU Radio Al-Wadi al-Gaded,Al-Kharga (WJD) 
 92.00                KL78GM     ERTU Al-Quran al-Karim,Dahab (JSN) 
 92.10   FFFE 150.000            NRJ,Al-Iskandariya=Alexandria (AIK) 
         FFFE  50.000 KM51LE     NRJ,Mahalla (GHB) 
       V FFFE  25.000 KM60DO     NRJ,Ismailia (ISM) 
       H       11.900 KL64KB     ERTU European (Al-Orobi),Asswan (ASN) 
 92.40 H        1.000 KL73TW     ,Ras Banas (BAR) (p)
 92.50 H       11.900 KL68TG     ERTU Al-Moseeky=Music,El Tur=At Tur (JSN) 
 92.60 H       11.200 KL57NE     ,Asyut (AST) (c)
       H        9.800 KM31PI     ERTU Al-Aghani (Songs),Mersa Matruh (MTH) 
