 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.43 H        0.015            ES0SIX,Hiiuma Island KO18KX 
 87.70 V 22EE   1.000 KO28JV     Sky Plus,Sooaluste/Kehtna Telia mast (RAP) 
       V        1.000 KO29AI     ,Paldiski (HAR) (c)
 88.10 V 2301   1.000 KO38AX     Star FM,Kapu/Koeru raadio- ja telemast (JAE) 
 88.20 V 23EB   1.000 KO18PO     Retro FM,Kõmsi/Telia mast (LAE) 
       V 2377   0.200 KO39QI     Pereraadio,Kohtla-Järve/Ahtme/Tele2 mast (IDA) 
 88.30 V 2466   2.000 KO29KL     Relax FM,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
 88.50 V 2322   0.006 KO38JJ     Raadio Elmar,Rõõmu (TAR) 
 88.60 V 2485   3.000 KO28HJ     Raadio 7,Pärnu/Tammiste/Pärnu RTJ, Tammiste tee 12 (PAE) 
 88.70 V 2377   0.400 KO18JX     Kuressaare Pereraadio,Kärdla/Telia mast, Leigri väljak 9a (HII) 
       V 2377   0.400 KO38DB     Pereraadio,Komsi/Kanariku/Puka Tele2 mast (VAL) 
 88.80 V 205E   1.000 KO29KL     Rock FM,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
 88.90 V 2377   0.750 KO39IK     Pereraadio,Pada/Tele2 mast (L-V) 
 89.00 V 2377   2.300 KO38JJ     Pereraadio,Rõõmu (TAR) 
       V 2377   1.250 KO18GS     Kuressaare Pereraadio,Vanamõisa/Telia mast (SAA) 
 89.10 V 22E3   0.300 KO29JA     Klassikaraadio,Tamme/Telia mast (RAP) 
 89.20 V        0.025 KO29SP     Radio Juminda Poolsaar,Juminda (HAR) (c)
 89.30 V 2301   0.500 KO28TI     Star FM,Viiratsi/ERSK (VIL) 
 89.40 V 22E3   0.530 KO49CJ     Klassikaraadio,Narva/Narva Telemast, Hariduse tn. 18 (IDA) 
       V 2377   0.500 KO18WX     Kuressaare Pereraadio,Härma/Palivere Telia mast (LAE) 
 89.50 V 24ED   0.300 KO39MH     Russkoe Radio,Maidla/Telia mast (IDA) 
 89.60 V 2377   2.350 KO29JK     Pereraadio,Tallinn/Oleviste kirik, Lai tn. 50 (HAR) 
 89.70 V 2402   0.700 KO38II     Power Hit Radio,Tartu/Tartu RTJ, Soinaste tn. 8A (TAR) 
 89.80 V 2321   1.200 KO39DG     MyHits,Karitsa/Pauli (L-V) 
