 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.01                KP11QU     OH1SIX,Ikaalinen KP11QU (PI) (i)
 50.02 V        0.080 KP20DH     OH2SIX,Lohja KP20DH (UU) 
 50.06 H        0.035 KP36OI     OH9SIX,Pirttikoski KP36OI 
 50.41                KP11VL     OH1SIX,Tampere KP11VL (i)
 50.41                KP36OI     OH9SIX,Pirttikoski KP36OI 
 50.43                KP52JH     OH7SIX,Tuupovaara KP52JH 
 50.48 V        0.003 JP90XI     OH0SIX,Stalsby JP90XI (AH) 
 87.60 H 6201  30.000 KP36TA     YLE Radio Yksi,Posio/Susivaara-Ylentie 15 (LA) 
       H 6202   3.000 KP22TE     YleX,Jyväskylä/Taka-Keljo Ronsuntaipaleentie (KS) 
       V 6367   1.000 KP12LW     Radio Aalto,Lapua - Lappo/Simpsiö-Mastontie (EP) 
       V 62AC   1.000 KP21AG     Radio City,Valkeakoski/Kaskela-Pilvitie (PI) 
       V 6411   1.000 KP20VX     Radio Nostalgia,Lahti - Lahtis/Kolavankangas (PH) 
       V 6203   1.000 KP13OT     YLE Radio Suomi,Kokkola, Pimjalo (KP) 
       V 6201   1.000 KP49HO     YLE Radio Yksi,Inari - Enare/Jänispää (LA) 
       H        0.500 KP20PJ     Radio Soi,Sipoo/Linnanpelto (UU) (t)
       V 6205   0.100 KP10GA     YLE Vega,Taalintehdas/Kemiönsaari (VS) 
                0.005 KP20KF     Vermon raviradio,Espoo/Vermo (UU) (i)
 87.70 H 6201  30.000 KP01UG     YLE Radio Yksi,Eurajoki - Euraåminne/Korvenkulma-Porintie 899 (ST) 
       V 6340   2.000 KP24GQ     NRJ Energy,Raahe - Brahestad/Mestauskallio-Valtatie (PP) 
       H 6201   2.000 KP33NP     YLE Radio Yksi,Iisalmi/Iimäki (Digita) (PS) 
       V 62AD   1.000 KP30MM     Iskelmä,Kotka/Karhula-Höyterintie (KY) 
       V 6255   1.000 KP42XC     Järviradio,Kitee/Puhos-Lepikontie 7 (PK) 
 87.80 H 6201   3.000 KP38NB     YLE Radio Yksi,Sodankylä/Vuotso-Riestovaara (LA) 
       V 6266   1.000 KP31RO     Radio Dei,Mikkeli - Sankt Michel/Majavesi-Puntalantie 41 (ES) 
       V 6209   1.000 KP21PI     Radio Nova,Padasjoki (PH) 
       H 6201   1.000 KP03SF     YLE Radio Yksi,Vaasa - Vasa/Mustasaari-Alskat (PO) 
       V 628B   0.200 KP12MA     FUN,Parkano/Sopukallio (PI) 
 87.90 H 6201  60.000 KP20HE     YLE Radio Yksi,Espoo - Esbo/Saunalahti-Tillinmäki (UU) 
       V 6201   3.000 KP16UH     YLE Radio Yksi,Ylitornio/Ainiovaara (LA) 
       V 6357   1.000 KP44KU     Aito Iskelmä,Suomussalmi/Ruukinkangas (KA) 
       V 6255   1.000 KP23TG     Järviradio,Pihtipudas/Ilosvuori-Viitasaarentie (KS) 
       V 62AB   1.000 KP42VO     KISS,Joensuu/Vestinkallio (PK) 
       V        0.050 KP43MN     ,Nurmes/Pitkämäki (PK) (c)
       H F202   0.040 KP39MV     ,Utsjoki/Kirkonkylä-Ailigas (LA) (c)
 88.00 H 6201  30.000 KP41GD     YLE Radio Yksi,Joutseno/Pappilankangas-Valtatie no 6 (EK) 
       V 5158   3.000 KP25WA     Radio Pooki,Oulu - Uleåborg/Kiiminki-Isohalme, Radiotie (PP) 
       H 6255   1.000 KP10DH     Järviradio,Lieto, Kahloja (VS) 
       V 62B2   1.000 KP22UE     Ysäri,Jyväskylä/Keljo (KS) 
       V 6460   0.500 KP11KH     Radio SuomiPOP,Sastamala (PI) 
       V 6201   0.030 KP09KB     YLE Radio Yksi,Enontekiö/Kilpisjärvi-Käsivarrentie (LA) 
       H        0.002 KP34WG     ,Kajaani - Kajana/Kuluntalahti, ravirata (KA) (c)
 88.10 H 6207   5.000 KP32SR     YLE Puhe,Kuopio/Vehmasmäki-Möykkylänmäentie (PS) 
       V 62A1   1.000 KP20FW     Radio Classic,Hämeenlinna-Tavastehus/Hattelmala-Hakapellontie 91 (KH) 
