 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.01 V        0.030            SV9SIX,Iraklio (KRT-IRA) 
 50.04 V        0.025            SV1SIX,Nr Athens (ATT) 
 50.07          0.005            SV3BSF,Patras (PEL) 
 50.40          0.010            SV2JAO,Veria (CMC-TSK) 
 50.41 H        0.003 KM36XG     SV5SIX,Rodos/Profitis Ilias (SEG-DOD) 
 70.08          0.010            SV2JAO,Veria (CMC-TSK) 
 87.50 V 10C1   6.000 KM18LA     L Radio 87.5,Korinthos/Ossios Patapios (PEL-KOR) 
       V A000   5.000 KM25BL     Radio Amore,Hania/Malaxa (KRT-KHA) 
       V 101D   4.000 KN21RE     Radio Hronos 87.5,Komotini/Nymfaia (EMC-ROD) 
         1A09   3.000 KM17VX     Kriti FM 87,5,Athina/Ymittos (ATT) 
       V        2.000 KM19MJ     Monaxiki Diakonia,Volos/Mt. Pilion/Pyrgaki (THE-MAG) 
       V A3E3   1.000 KN31DE     Autokratoria FM,Soufli (EMC-EVR) 
       V 104B   1.000 KM06WW     Mythos FM,Kalamata/Likodimo/Petalidi (PEL-MES) 
       V        0.500 KM15UF     Radio Amore,Paleohora (KRT-KHA) 
                      KM39DI     Radio Kalloni,Lesvos/Lepetimnos (NEG-LES) 
                      KM39GC     Radio Kalloni,Lesvos-Mitilini/Prof. Ilias (NEG-LES) 
 87.60 V 00A8  10.000 KN10NO     Laikos 87.6,Thessaloniki/Hortiatis (CMC-TSK) 
       H 1204   3.000 KN11PA     ERA Sport,Serres/Kefalochori [ERT] (CMC-SER) 
       V        2.500 KM09LF     Radio Ena Arta,Arta/Korfovouni (EPI-ART) 
       V        1.000 KM37BN     Radio Ikaria,Ikaria (NEG-SAM) 
       V 6000   1.000 KM09SP     Radio Stagon,Kalampaka/Koromilia (THE-TRI) 
       V 1006   1.000 KM25MI     Sport FM,Iraklion/Rogdia (KRT-IRA) 
       V ABFE   1.000 JM99WS     Studio 1 87,6 FM,Kerkyra/Mt. Pantokratoras (ION-KER) 
       V        0.500 KM17GJ     Mythos FM,Tripolis/Doliana (PEL-ARK) 
                      KM18KL     Radio Blackman,Livadia/Pera Horio (CGR-VOI) 
 87.70 V 18B1  40.000 KM17VX     En Lefko,Athina/Ymittos (ATT) 
                7.500 KM18EV     Phase Radio 87.7,Lamia/Profitis Ilias (CGR-FTH) 
       H 1202   3.000 KM37JR     ERA 2 Deutero Programma,Samos/Platanos (NEG-SAM) 
       V        1.000 KM17SS     En Lefko,Athina/Aegina (ATT-PIR) 
       V 105D   1.000 KM36XG     Radio Ena Rodos,Rodos/Profitis Ilias (SEG-DOD) 
       V        0.500 KM17AN     Mythos FM,Tripolis/Zatouna (PEL-ARK) 
                      KM08QP     Radiourgia,Agrinio (WGR-AIT) (t)
 87.80 V 1264   3.000 KN10QK     Metropolis 95.5,Halkidiki/Vavdos-Zagka Rachi (CMC-KHK) 
       V A000   1.000 KM15VK     Radio Amore,Hania/Kotsifiana (KRT-KHA) 
       V 0000   1.000 KM18SL     Radio Blackman,Evvoia/Chalkida/Ktypas (CGR-EVV) 
       V        1.000 KM19DU     Radio Kivotos,Elassona/Melouna (THE-LAR) 
         1264         KN10VM     Metropolis 95.5,Halkidiki/Stratoniki (CMC-KHK) 
 87.90 H FFFF  20.000 KM08WG     ERA Sport,Patra/Panahaiko (WGR-AKH) 
       V 8791   4.000 KM25MI     Erotokritos FM,Iraklion/Rogdia (KRT-IRA) 
       V 1234   2.500 KM08JX     Dimotiko Radiofono Prevezas,Preveza/Agios Thomas (EPI-PRE) 
       V        1.500 KM18LA     Eco Radio,Korinthos/Ossios Patapios (PEL-KOR) 
       V 8791   0.900 KM25OA     Erotokritos FM,Charakas-Akhendrias (KRT-IRA) 
 88.00 H 1201 100.000 KN10NO     ERA 1 Proto Programma,Thessaloniki/Hortiatis [ERT Tower] (CMC-TSK) 
       V 1396  40.000 KM17VX     Menta FM 88,Athina/Ymittos (ATT) 
       V 10E4   8.000 KN21KD     Super 88 Radio,Xanthi/Moni Panagias (EMC-XAN) 
       V 8800   1.500 KM09SP     Laikos Radio 88.0,Kalampaka/Koromilia (THE-TRI) 
       V        1.000 KM07WF     Life FM 88.0,Kiparissia/Aetos (PEL-MES) 
         5490   1.000 KM17DI     Life FM 88.0,Assea-Tsemperou (PEL-ARK) 
       V 181E   1.000 KM06WW     Life FM 88.0,Kalamata/Likodimo/Petalidi (PEL-MES) 
       V        1.000 KM17SS     Menta FM 88,Athina/Aegina (ATT-PIR) 
       V 105D   1.000 KM46CK     Radio Ena Rodos,Rodos/CAIR (SEG-DOD) 
       V 105D   1.000 KM36PU     Radio Ena Rodos,Kos/Sympetro (SEG-DOD) 
       V F000   1.000 KM35AE     Radio Melody 88,Chamezi (KRT-LAS) 
       V F000   1.000 KM35AB     Radio Melody 88,Lithines (KRT-LAS) 
       V 105D   0.900 KM35NM     Radio Ena Rodos,Karpathos/Othos (SEG-DOD) 
                      KM07TD     Life FM 88.0,Filiatra (PEL-MES) 
                      KM18ES     Melodia FM 88.0 (Lamia),Lamia/Dyo Vouna (CGR-FTH) 
 88.10 H 1203  32.000 KN31HI     ERA 3 Trito Programma,Didymoteicho/Pythio [ERT] (EMC-EVR) 
       V 1068   1.000 KM25OA     Fly FM 88.1,Charakas-Akhendrias (KRT-IRA) 
       V        1.000 KN00TS     Radio Enigma,Florina/Kleidi (WMC-FLO) 
       V 1068   0.500 KM25MI     Fly FM 88.1,Iraklion/Rogdia (KRT-IRA) 
 88.20 H       35.000 KM09KQ     ERA Diktyo Epirou - Ioannina,Ioannina/Ligkiades [ERT] (EPI-IOA) 
       V 108B   5.000 KM18DJ     Aroma FM,Erateini (CGR-FOK) 
