 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.00 H        0.020            HG1BVB,Horman JN87FI 
 50.06 V        0.010            HG8BVB,Gerla KN06OQ 
 50.43 V        0.005            HG7BVA,Gyomro JN97QK 
 50.45 H        0.010            HG8BVD,Kisrata KN06HT 
 50.48                           HG1BTV,Zalakaros JN86MN 
 66.02 H        3.000 KN08JC     ,Miskolc / Avas (BAZ) (c)
 66.11 V        0.100 JN97XT     ,Gyöngyös / Sar-hegy (HEV) (c)
 66.14 H        3.000 KN07SA     ,Komadi / Hereskert (HAB) (c)
       H        0.300 JN97ED     ,Szekesfehervar/Maroshegy, AHZRT Site (FEJ) (c)
 66.23 V        0.300 JN97NA     ,Kunszentmiklós (BAK) (p)
 66.29 H        3.000 KN06DO     ,Szentes (CSO) (c)
 66.35 H        2.000 JN96II     ,Szekszard / Kalvaria-hegy (TOL) (p)
 66.62 H       10.000 JN97LM     ,Budapest/Szechenyi-hegy (BUD) (c)
 66.74 V        0.100 KN07EV     ,Eger / Almagyar-tetQ (HEV) (c)
 66.80 H        3.000 KN08JC     ,Miskolc / Avas (BAZ) (c)
       H        2.000            ,unknown (p)
 66.92 H        3.000 KN07SA     ,Komadi / Hereskert (HAB) (c)
 67.04 H        3.000 JN87TP     ,GyQr / Szabadhegy (GYO) (c)
 67.19 H       10.000 JN96CC     ,Pecs-MisinatetQ (BAR) (c)
 67.40 H       10.000 JN97LM     ,Budapest/Szechenyi-hegy (BUD) (c)
 67.52 V        0.100 JN87HF     ,Szombathely / Viztorony utca (VAS) (c)
 67.85 H        3.000 KN06DO     ,Szentes (CSO) (c)
 67.88          0.100 JN87WC     ,Veszprem / High-rise, Kossuth utca (VES) (c)
 67.97 H       10.000 JN96CC     ,Pecs-MisinatetQ (BAR) (c)
 68.24          3.000 KN07SA     ,Komadi / Hereskert (HAB) (c)
 68.36 H       10.000 JN86MN     ,Nagykanizsa/Újudvar (ZAL) (c)
 68.48 H        3.000 KN08JC     ,Miskolc / Avas (BAZ) (c)
 68.72 H        3.000 KN06DO     ,Szentes (CSO) (c)
 68.87          0.100 JN97ML     ,Budapest/Lagymanyos (BUD) (c)
 68.89          3.000 JN97ED     ,Szekesfehervar/Maroshegy, AHZRT Site (FEJ) (p)
 68.99 V        0.100 JN97NU     ,Vac/Naszaly (PES) (c)
 69.11 V        0.300 JN97NA     ,Kunszentmiklós (BAK) (p)
 69.38 H       10.000 JN97LM     ,Budapest/Szechenyi-hegy (BUD) (c)
 69.44 V        0.130 JN86VI     ,Kaposvar (SOM) (c)
 69.86 V        0.140 JN97OL     ,Budapest/Rakoskeresztur, Újlak str. High-rise (BUD) (c)
