 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.00 H        0.030            EI0SIX,Enniskerry IO63VE (WW) 
 87.60 V              IO62XX     UCB UK,Wicklow/Ballyguile (WW) 
 87.70   20C4   1.000 IO53LG     8Radio.com,Galway (G) (t)
       M        0.500 IO51SV     ,Cork (CO) (p)
         2208                    Spirit Radio,Letterkenny area (DL) 
 87.80 M 2201  40.000 IO64UC     RTÉ Radio 1,Clermont Carn (LH) 
       V        0.500 IO53AM     Connemara Community Radio,Clifden/Cregg Hill (G) 
                0.020 IO53DO     Connemara Community Radio,An Leenaun (G) 
 88.10 M        1.000 IO63SG     Christmas FM,Saggart Hill (Red Gap) - Slievethoul (D) (t)
                                 Pirate FM,Dublin (D) 
 88.20 M 2201 126.000 IO54TI     RTÉ Radio 1,Truskmore (SO) 
       M 2201   3.000 IO51US     RTÉ Radio 1,Crosshaven (CO) 
 88.30 M 2201   3.000 IO51AP     RTÉ Radio 1,Castletownbere/Knockgour (KY) 
       M 2201   1.000 IO62DI     RTÉ Radio 1,Clonmel (TA) 
       M 2201   1.000 IO65LF     RTÉ Radio 1,Moville/Crockaulin (DL) 
       M 2201   0.100 IO62KG     RTÉ Radio 1,Waterford/Gallow's Hill (WD) 
 88.40 M 2201   2.000 IO53FG     RTÉ Radio 1,Casla (G) 
       M 2201   1.000 IO52DF     RTÉ Radio 1,Knockmoyle (RTE) (KY) 
                0.100 IO63AJ     Athlone Community Radio,Athlone (WH) 
       V        0.100 IO53AN     Connemara Community Radio,Letterfrack (G) 
 88.50 M 2201   5.000 IO63VG     RTÉ Radio 1,Three Rock Mountain (D) 
       M 2201   3.000 IO62DB     RTÉ Radio 1,Dungarvan/Carronadavderg 2 (WD) 
       V              IO63TX     ,Blackrock (LH) (i)
 88.60 M 2201   0.100 IO52UH     RTÉ Radio 1,Mitchelstown (RTE) (CO) 
                      IO54TP     South West Donegal Community Radio,Bruckless (DL) 
 88.70 M 2201   1.000 IO51GP     RTÉ Radio 1,Bantry (CO) 
       V        0.050 IO51SV     Juice FM,Cork/Colaiste Stiofain Naofa (CO) 
       M 2201   0.050 IO42SD     RTÉ Radio 1,Maamclassach (KY) 
         20C5         IO62JP     Community Radio Kilkenny City,Kilkenny (KK) 
 88.80 M 2201 158.500 IO52PX     RTÉ Radio 1,Maghera (CE) 
       M 2201   0.150 IO55VD     RTÉ Radio 1,Magheraroarty (DL) 
                                 Easy Radio,Dublin (D) 
 88.90 M 2201   2.500 IO64LE     RTÉ Radio 1,Monaghan/Lugad Hill (RTE) (MN) 
       M 2201   2.000 IO65II     RTÉ Radio 1,Malin Head (DL) 
 89.00 M 2201   3.000 IO62II     RTÉ Radio 1,Suir Valley/Fiddown Hills (KK) 
       M 2201   0.010 IO51SQ     RTÉ Radio 1,Kinsale (CO) 
 89.10 M 2201  50.000 IO63TE     RTÉ Radio 1,Kippure (WW) 
       M 2201   0.030 IO42TE     RTÉ Radio 1,Ballydavid (KY) 
 89.20 M 2201   6.000 IO65HA     RTÉ Radio 1,Hollywell Hill (DL) 
       M 2201   5.000 IO51RU     RTÉ Radio 1,Cork/Spur Hill (CO) 
       M 2201   1.000 IO52EM     RTÉ Radio 1,Knockanore (KY) 
 89.30 M 2201   3.000 IO53HW     RTÉ Radio 1,Castlebar/Croaghmoyle (MO) 
       M 2201   0.020 IO63AK     RTÉ Radio 1,Athlone (RTE) (WH) 
 89.40 M 2201   2.500 IO52PR     RTÉ Radio 1,Woodcock Hill (RTE) (CE) 
       M 2201   0.050 IO52UD     RTÉ Radio 1,Fermoy/Macroney (CO) 
 89.50 M 2201   3.000 IO53AM     RTÉ Radio 1,Clifden/Cregg Hill (G) 
       M 2201   3.000 IO41TU     RTÉ Radio 1,Cahirciveen/Kilkeaveragh (KY) 
       V 2201   1.000 IO63WD     RTÉ Radio 1,Greystones/Bellevue (WW) 
       V        0.050 IO63VI     Saint Ita's Hospital Radio,Portrane (D) 
       V        0.030 IO63VI     Mater Hospital Radio,Dublin (D) 
 89.60 M 2201 200.000 IO62OO     RTÉ Radio 1,Mount Leinster (CW) 
       M 2201   3.000 IO54SX     RTÉ Radio 1,Arranmore Island (DL) 
 89.70 M 2201   0.500 IO64DS     RTÉ Radio 1,Ballybofey (DL) 
       M 2201   0.100 IO53HA     RTÉ Radio 1,Lahinch=Lehinch (CE) 
       M 2201   0.050 IO51SV     RTÉ Radio 1,Cork/Collins Barracks (CO) 
 89.80 M 2201  20.000 IO63DT     RTÉ Radio 1,Cairn Hill (LD) 
       M 2201   4.000 IO65EF     RTÉ Radio 1,Fanad (DL) 
         2208         IO52QP     Spirit Radio,Limerick (LK) 
 89.90 V 2208   5.000 IO63VG     Spirit Radio,Three Rock Mountain (D) 
       M 2201   3.000 IO43XW     RTÉ Radio 1,Achill Island/Minaun Heights (MO) 
 90.00 M 2201 158.500 IO51KX     RTÉ Radio 1,Mullaghanish (CO) 
 90.10   2208         IO62KG     Spirit Radio,Waterford (WD) 
 90.20 V 2201   3.000 IO62BU     RTÉ Radio 1,Kilduff Mountain (TA) 
 90.30 V 20A1   1.000 IO63VI     Near FM,Coolock (D) 
 90.40 M 2202 126.000 IO54TI     RTÉ 2FM,Truskmore (SO) 
       M 2202   3.000 IO51US     RTÉ 2FM,Crosshaven (CO) 
         2208         IO64SA     Spirit Radio,Farrandreg (LH) 
 90.50 M 2202   3.000 IO51AP     RTÉ 2FM,Castletownbere/Knockgour (KY) 
       M 2202   1.000 IO65LF     RTÉ 2FM,Moville/Crockaulin (DL) 
       M 2202   1.000 IO62DI     RTÉ 2FM,Clonmel (TA) 
       M 2202   0.100 IO62KG     RTÉ 2FM,Waterford/Gallow's Hill (WD) 
 90.60 M 2202   2.000 IO53FG     RTÉ 2FM,Casla (G) 
       M 2202   1.000 IO52DF     RTÉ 2FM,Knockmoyle (RTE) (KY) 
 90.70 M 2202   5.000 IO63VG     RTÉ 2FM,Three Rock Mountain (D) 
       M 2202   3.000 IO62DB     RTÉ 2FM,Dungarvan/Carronadavderg 2 (WD) 
 90.80 M 2202   0.100 IO52UH     RTÉ 2FM,Mitchelstown (RTE) (CO) 
 90.90 M 2202   1.000 IO51GP     RTÉ 2FM,Bantry (CO) 
       M 2202   0.050 IO42SD     RTÉ 2FM,Maamclassach (KY) 
         2208         IO51SV     Spirit Radio,Cork (CO) 
 91.00 M 2202 158.500 IO52PX     RTÉ 2FM,Maghera (CE) 
       M 2202   0.150 IO55VD     RTÉ 2FM,Magheraroarty (DL) 
