 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 87.50                LM25XO     Radio Garmyan,Penjwin (SUL) 
                      LM31OU     ,Al-Amarah (ITU: Amara) (MYS) (c)
 87.70          1.000 LM23EH     Monte Carlo Doualiya,Baghdad  (BGH) 
                      LM30WM     Sawt al-Basrah,Al Basrah (BSR) (i)
 88.00          2.000 LM30WM     ,Al Basrah (BSR) (c)
                      LM25EL     Radio Dar as-Salam,Kirkuk (KRK) 
                      LM25PN     Radio Sawa,Sulaimaniyah (SUL) 
 88.10 V        0.100 LM16NH     Monte Carlo Doualiya,Mosul=Mûsil (NNW) 
       H              LM22LA     Radio Diwaniya FM,Ad Diwaniyah (QAD) 
 88.20                LM23EH     Radio Dijla,Baghdad  (BGH) 
 88.30 H        1.580 LM22VN     Radio Al-Nahrain,Al-Kut (ITU: Kut) (WAS) 
       V        1.000 LM25PN     Radio Nawxo,Sulaimaniyah (SUL) 
                      LM22AO     Imam Hussain FM,Karbala (KAB) 
                      LM22AO     Imam Hussain FM (Al-Rawda Al-Husseiniya FM),Karbala (KAB) 
 88.40 V        1.000 LM26AE     Radio Nawxo,Arbil=Erbil=Hewlêr (ARB) 
                1.000 LM25PN     ,Sulaimaniyah (SUL) (c)
 88.50                LM23EH     Iranian Voice of the Mujahidin,Baghdad  (BGH) 
                      LM22FL     Radio Al-Amal,Hillah (BBL) 
 88.60          1.000 LM23EH     Panorama FM,Baghdad  (BGH) 
                1.000 LM25XE     Radio Denge Nwe,Halabja (SUL) 
       H              LM30WM     ,Al Basrah (BSR) (p)
 88.70                           Noor Balad FM,Balad (SAD) 
                      LM30WM     Radio Al Saabiil,Al Basrah (BSR) 
 88.90                LM16NH     Radyo Duhok,Mosul=Mûsil (NNW) 
                      LM17RB     Radyo Duhok,Amadiya=Amediy (DAH) 
                      LM16TM     Radyo Duhok,Berderes (NNW) 
                      LM16QQ     Radyo Duhok,Shekhan=^êxan (NNW) 
 89.00 H        1.000 LM22VN     BBC WS Arabic,Al-Kut (ITU: Kut) (WAS) 
                      LM23EH     BBC WS Arabic,Baghdad  (BGH) 
       H              LM31OU     BBC WS Arabic,Al-Amarah (ITU: Amara) (MYS) 
                      LM25EL     Radio Ashur,Kirkuk (KRK) 
 89.10                LM25RN     New Life Radio,Sulaimaniyah (SUL) 
                      LM30WM     Radio Al-Amal,Al Basrah (BSR) 
                                 Radio Sobel AL Salam,Dhi Qar (DQR) 
 89.20 H              LM26AE     Sumer FM,Arbil=Erbil=Hewlêr (ARB) 
 89.40                LM31OU     Al-Merbad Radio,Al-Amarah (ITU: Amara) (MYS) 
                      LM17ID     ,Zakho=Zaxo (DAH) (c)
                      LM16NH     ,Mosul=Mûsil (NNW) (c)
 89.50                LM23EJ     Radio al-Jawadain - Baghdad,Baghdad-Kadhimiya (BGH) 
       V              LM25FL     Radio Nawa,Kirkuk (KRK) 
                      LM16MU     Radyo Duhok,Dohuk (DAH) 
 89.70 H        0.300 LM22AO     Karbala FM,Karbala (KAB) 
                                 Radio Balad,Balad (SAD) 
 89.90          1.000 LM16OI     Radio Alghad,East of Mosul (NNW) 
                1.000 LM26AE     Radio Alghad,Arbil=Erbil=Hewlêr (ARB) 
                                 Nasiriyah Fm,Nasiriya (ITU: Nasrria) (DQR) 
                      LM24PO     Radio Nawa Arabic,Kalar (SUL) 
                      LM23EH     Radio Nawa Kurdish,Baghdad  (BGH) 
 90.00 H        2.000 LM31DA     BBC WS Arabic,An Nasiriyah (DQR) 
                      LM22KH     BBC WS Arabic,Al Showmaly (BBL) 
                      LM30WM     BBC WS Arabic,Al Basrah (BSR) 
                      LM25EL     unid,Kirkuk (KRK) 
                      LM16NH     ,Mosul=Mûsil (NNW) (c)
 90.10                LM23EH     Holy Quran Radio - Baghdad,Baghdad  (BGH) 
                      LM17ID     Radio Xabir,Zakho=Zaxo (DAH) 
                                 Turkmen FM,Kirkuk 
 90.20 V        0.160            Imam Hussain FM,Muthanna=As Samawah (MUT) 
 90.30                           Radio Al-Amal,Maysan (MYS) 
                      LM25PN     Ur FM Radio,Sulaimaniyah (SUL) 
 90.40                LM30WM     Al-Ahad Radio,Al Basrah (BSR) 
 90.50 H 5000         LM23EH     Radio Al-Yaum - Baghdad,Baghdad  (BGH) 
                      LM22EM     Radio of the Republic of Iraq,Sinjar (BBL) 
 90.60          0.200 LM30WM     Radio Shanasheel,Al Basrah (BSR) 
                0.100 LM25EL     Radio Lawani Kurdistan,Kirkuk (KRK) 
       V        0.010 LM31OU     Imam Hussain FM,Al-Amarah (ITU: Amara) (MYS) 
 90.70 V        1.000 LM16MU     Radio Nawa Arabic,Dohuk (DAH) 
                                 Radio Hawleer 
       V 1011         LM25RN     Radio Nawa Arabic,Sulaimaniyah (SUL) 
       V              LM17HB     Radio Nawa Arabic,Zakho=Zaxo (DAH) 
 90.80                LM13PK     Radio of the Republic of Iraq,Ramadi (ANB) 
 90.90                LM26AE     Radio Ashur,Arbil=Erbil=Hewlêr (ARB) 
 91.00                           Radio Alwaad,Nasiriya (ITU: Nasrria) (DQR) 
                      LM14TN     Radio Dar as-Salam,Tikrit (ITU: Tekret) (SAD) 
                      LM21DX     Radio Ministry of the Interior,Najaf (NAJ) 
 91.10 V        0.030 LM21PH     Radio Al-Kafeel,As Samawah (MUT) 
                      LM23EH     Radio Dar as-Salam,Baghdad  (BGH) 
       V              LM17HB     Radio Nawa Kurdish,Zakho=Zaxo (DAH) 
 91.20                LM14TN     Salah Addin Radio,Tikrit (ITU: Tekret) (SAD) 
 91.30                LM22AO     Ethaat Almuhafatha,Karbala (KAB) 
 91.40                           Radyo Duhok,unknown (SAD) 
 91.50 H        5.000 LM23EH     Rasheed FM - Baghdad,Baghdad  (BGH) 
       H              LM25EL     Baba Gurgur Radio,Kirkuk (KRK) 
                      LM22LA     Radio Al-Amal,Ad Diwaniyah (QAD) 
                      LM17GD     Radyo Duhok,Slopi (DAH) (u)
                      LM26AE     Radyo Duhok,Arbil=Erbil=Hewlêr (ARB) 
                      LM17ID     Radyo Duhok,Zakho=Zaxo (DAH) 
 91.60                LM22FL     Radio Al-Furatain,Hillah (BBL) 
