 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.05 H                         TF1SIX,Fludir HP93QU 
 50.45          0.025            TF1VHF,Altfanes HP84WL 
 87.70 H A202  11.800 IP25UF     RÚV Ras 2,Gagnheidi (AU) 
       H noPI   2.000 HP94CC     RÚV Rondó,Kópavogur/Vatnsendi (HO) 
       H A202   0.400 HP86JD     RÚV Ras 2,Bolungarvikurkaupstaður/Bolungarvik-Óseyri (VF) 
       H A201   0.010 IP15GU     RÚV Ras 1,Fljótsheiði/Skollahnjukur (NE) 
                      IP05WQ     ,Akureyri (NE) (c)
 87.90 H A201   0.020 HP86GA     RÚV Ras 1,Önundarfjörður/Holt (VF) 
                      IP15AS     XA Radió,Akureyri/Vaðlaheiði (NE) 
 88.00 H A201  18.000 HP85PB     RÚV Ras 1,Stykkishólmsbær/Stykkishólmur-simstöð (VE) 
       H A201   0.200 IP13AS     RÚV Ras 1,Skaftarhreppur/Kirkjubæjarklaustur-Hatun-Landbroti (SL) 
       H A201   0.200 IP06HA     RÚV Ras 1,Slettahlið/Glæsibær (NV) 
 88.10 H A202  24.000 HP93UK     RÚV Ras 2,Vestmannaeyjabær/Vestmannaeyjar-Klif (SL) 
       H A201   3.300 IP26CG     RÚV Ras 1,Melrakkaslettu/Viðarfjall (NE) 
         A251                    K100,Reykjavik (HO) 
 88.30 H A202   6.000 HP94BM     RÚV Ras 2,Borgarbyggð/Borgarfjörður-Þjóðólfsholt (VE) 
       H A201   0.200 IP05VS     RÚV Ras 1,Eyjafjörður/Skipalón (NE) 
       H A202   0.100 HP86MB     RÚV Ras 2,Suðavikurhreppur/Suðavik-simstöð (VF) 
 88.40 H A202   1.000 IP05EG     RÚV Ras 2,Skagafjörður/Þrandarhliðarfjall (NV) 
 88.50 H        2.000 HP94CC     XA Radió,Kópavogur/Vatnsendi (HO) 
       H A202   0.200 IP05VK     RÚV Ras 2,Eyjafjarðardalur/Hals (NE) 
       H A201   0.030 IP24HG     RÚV Ras 1,Hornafjörður/Holt A-Skaft. (AU) 
         A201         HP95AJ     RÚV Ras 1,Tjaldanes/Saurbær (VE) 
 88.70 H A202   0.400 IP06ND     RÚV Ras 2,Fjallabyggð/Siglufjörður-Hvanneyrarskal (NV) 
       H A202   0.100 IP16SH     RÚV Ras 2,Norðurþing/Kópasker-simstöð (NE) 
 88.90 H A20D   0.500 HP93UK     Lindin,Vestmannaeyjabær/Vestmannaeyjar-Klif (SL) 
       H A201   0.400 IP05TQ     RÚV Ras 1,Öxnadalur/Bægisa (NE) 
 89.00 H A201   0.400 HP86KC     RÚV Ras 1,Ísafjarðarbær/Ísafjörður-Arnarnes (VF) 
       H A202   0.200 HP96NB     RÚV Ras 2,Haganesvik/Haganes-neðra (NV) 
                      HP94BC     ,Reykjavik/Borgarspitali (HO) (c)
 89.10 H A201   6.000 HP95VP     RÚV Ras 1,Blönduósbær/Blönduós-Hnjukar (NV) 
       H A201   0.200 IP25VA     RÚV Ras 1,Fjarðabyggð/Reyðarfjörður-Borgarhals (AU) 
       H A201   0.200 IP03SQ     RÚV Ras 1,Skaftartunga I/Miðfell (SL) 
         A2B2         HP94BC     Áttan FM,Reykjavik (HO) (t)
 89.20 H A201   0.100 IP24JG     RÚV Ras 1,Hornafjörður/Höfn-simstöð (AU) 
 89.30 H A202   0.200 HP94GT     RÚV Ras 2,Borgarbyggð/Norðurardalur-Hreimsstaðir (VE) 
 89.50 H        1.000 HP94DC     Retró,Reykjavik/Geithals (HO) 
       H A202   0.500 IP15NP     RÚV Ras 2,Namaskarð/Skógarhlið (NE) 
       H A202   0.050 HP75XO     RÚV Ras 2,Vesturbyggð/Patreksfjörður-Radióstöð (VF) 
         A201   0.020 HP93GV     RÚV Ras 1,Ölfus/Þorlakshöfn (SL) 
         A252         IP05WQ     Akureyri Radio Stad,Akureyri (NE) 
 89.70 H A203   0.100 IP35AG     Bylgjan,Seyðisfjarðarkaupstaður/Seyðisfjörður-Efri Stafur (AU) 
         A203         IP05AS     Bylgjan,Þverarfjallsvegur (NV) 
         A251         IP03LJ     K100,Mýrdalshreppur/Vik i Mýrdal-Reynisfjall (SL) 
 89.80 H A201   0.300 HP84SQ     RÚV Ras 1,Borgarbyggð/Borgarfjörður-Skaneyjarbunga (VE) 
 89.90 H A202   0.160 HP95CB     RÚV Ras 2,Dalabyggð/Buðardalur-Kambsnes (VE) 
         A2B2         HP93LV     Áttan FM,South Coast (Hafell and Jórvik) 
 90.10 H A202   3.500 HP94CC     RÚV Ras 2,Kópavogur/Vatnsendi (HO) 
 90.30 H A201   1.200 IP24LG     RÚV Ras 1,Almannaskarð/Í landi Fjarðar (AU) 
       H A202   1.000 HP95LG     RÚV Ras 2,Hrutafjarðarhals/Hvitabjarnarhóll (NV) 
       H A201   0.020 IP05RX     RÚV Ras 1,Dalvikurbyggð/Dalvik-Hóll (NE) 
 90.40 H A206   2.000 HP93UK     X977,Vestmannaeyjabær/Vestmannaeyjar-Klif (SL) 
       H A202   0.430 IP15FQ     RÚV Ras 2,Goðafoss/Hrutey (NE) 
       H A202   0.400 IP05RQ     RÚV Ras 2,Hörgardalur/Öxnhóll (NE) 
       H A201   0.290 HP85FV     RÚV Ras 1,Dýrafjörður/Þingeyri-Sandfell (VF) 
       H A201   0.200 IP35AB     RÚV Ras 1,Fjarðabyggð/Eskifjörður-Hólmahals (AU) 
 90.50 H A202   0.680 HP84EV     RÚV Ras 2,Snæfellsbær/Ólafsvik-Vallnaholt (VE) 
       H A201   0.250 IP25FC     RÚV Ras 1,Jökuldalur/Haurð (AU) 
       H A201   0.200 IP35CM     RÚV Ras 1,Borgarfjörður eystri/Hamar (AU) 
       H A201   0.180 IP06QM     RÚV Ras 1,Ólafsfjörður/Burstabrekkueyri (NE) 
       H A202   0.050 HP94AM     RÚV Ras 2,Borgarbyggð/Borgarnes (VE) 
 90.60 H A201   3.100 IP05GR     RÚV Ras 1,Skagafjörður/Hegranes (NV) 
 90.70 H A201   0.200 IP16MC     RÚV Ras 1,Öxarfjörður/Auðbjargarstaðir (NE) 
 90.90 H A20B  10.000 HP94DD     Gull Bylgjan,Mosfellsbær/Viðines (HO) 
       H A201   0.020 HP86GC     RÚV Ras 1,Sugandafjörður/Kleif (VF) 
         A203         IP34BU     Bylgjan,Fjarðabyggð/Stöðvarfjörður (AU) 
         A206         IP15AS     X977,Akureyri/Vaðlaheiði (NE) 
 91.00 H A201   0.200 IP35BC     RÚV Ras 1,Fjarðabyggð/Neskaupstaður-Skuggahlið (AU) 
       H A202   0.010 IP15ET     RÚV Ras 2,Gvendarstaðir (NE) 
 91.10 H A201   0.100 IP26AK     RÚV Ras 1,Norðurþing/Raufarhöfn-Viti (NE) 
       H A202   0.100 IP24OJ     RÚV Ras 2,Lóni/Byggðaholt (AU) 
 91.20 H A201   0.200 IP25OJ     RÚV Ras 1,Jökuldalur/Surtarkollur (AU) 
       H A201   0.010 IP03LJ     RÚV Ras 1,Mýrdalshreppur/Vik i Mýrdal-Reynisfjall (SL) 
 91.30 H A201   2.500 HP94TC     RÚV Ras 1,Ölfus-Flói/Auðsholt (SL) 
 91.40 H A203   0.050 HP94DD     Bylgjan,Mosfellsbær/Viðines (HO) 
 91.50 H A202   0.400 HP85JA     RÚV Ras 2,Grundarfjarðarbær/Grundarfjörður-Akurtraðir (VE) 
       H A201   0.200 IP34CU     RÚV Ras 1,Hafnarnesi/Grænanipa (AU) 
       H A202   0.180 HP86QD     RÚV Ras 2,Snæfjallaströnd/Bæir (VF) 
       H A201   0.100 IP26OA     RÚV Ras 1,Langanesbyggð/Bakkafjörður-simstöð (NE) 
 91.60 H A201   9.300 IP15AS     RÚV Ras 1,Akureyri/Vaðlaheiði (NE) 
       H A202   0.200 HP86GA     RÚV Ras 2,Önundarfjörður/Holt (VF) 
 91.70 H A203   0.100 HP94AM     Bylgjan,Borgarbyggð/Borgarnes-Tal tækjaskýli (VE) 
                      HP95VP     ,South Coast (Hnjukar) (c)
 91.80 H A203   0.250 HP94TC     Bylgjan,Rjupnahæð/Langholtsfjall (SN) 
 91.90 H A202   0.800 HP96QA     RÚV Ras 2,Straumnes/Fell (NV) 
       H        0.100 HP94BD     FlashBack,Reykjavik (HO) 
       H A201   0.010 HP85EQ     RÚV Ras 1,Vesturbyggð/Bildudalur-Haganes (VF) 
 92.00 H A202   0.250 IP25NB     RÚV Ras 2,Fljótsdalur/Hjarðarhóll (AU) 
 92.10 H A202   0.200 HP95DQ     RÚV Ras 2,Strandabyggð/Hólmavik-Skeljavikurhals (VF) 
       H A203   0.100 HP84EV     Bylgjan,Snæfellsbær/Ólafsvik-Við bryggju (VE) 
 92.30 H A202   0.200 IP25VA     RÚV Ras 2,Fjarðabyggð/Reyðarfjörður-Borgarhals (AU) 
 92.40 H A201  24.000 HP94GF     RÚV Ras 1,Esju/Skalafell (HO) 
       H A202   0.400 IP05HS     RÚV Ras 2,Hjaltadalur/Laufhóll (NV) 
       H A202   0.200 IP13AS     RÚV Ras 2,Skaftarhreppur/Kirkjubæjarklaustur-Hatun-Landbroti (SL) 
 92.50 H A201   0.400 IP05BM     RÚV Ras 1,Blöndudalur 1/Tungunesmuli (NV) 
       H A201   0.160 HP95CB     RÚV Ras 1,Dalabyggð/Buðardalur-Kambsnes (VE) 
 92.70 H A203   2.000 IP15AS     Bylgjan,Akureyri/Vaðlaheiði (NE) 
       H A202   0.200 IP34BU     RÚV Ras 2,Fjarðabyggð/Stöðvarfjörður-Sjónarhraun (AU) 
 92.90 H A201   3.500 HP84WL     RÚV Ras 1,Mýrum/Miðhus-Girðisholt (VE) 
 93.00 H A201   0.100 HP95QI     RÚV Ras 1,Viðihlið/Viðidalur (NV) 
 93.10 H A202   0.100 IP24JG     RÚV Ras 2,Hornafjörður/Höfn-simstöð (AU) 
 93.20 H A202   0.400 HP95WN     RÚV Ras 2,Svartardalur/Bólstaðarhlið (NV) 
       H A202   0.150 HP85VK     RÚV Ras 2,Reykhólahreppur/Reykhólar-Radióh. L Í (VF) 
 93.30 H        2.000 IP05WQ     Lett Bylgjan,Akureyri (NE) 
       H A219   2.000 HP93UK     Suðurland FM,Vestmannaeyjabær/Vestmannaeyjar-Klif (SL) 
 93.40 H A201   0.400 IP03SR     RÚV Ras 1,Skaftartunga II/Berjafjall (SL) 
 93.50 H A201   2.500 HP94CC     RÚV Ras 1,Kópavogur/Vatnsendi (HO) 
       H A201   0.200 HP95SM     RÚV Ras 1,Vatnsdalur/Skriða (NV) 
       H A201   0.200 IP25NR     RÚV Ras 1,Vopnafjarðarhreppur/Vopnafjörður-Hraunalina (AU) 
       H A201   0.040 HP86JD     RÚV Ras 1,Bolungarvikurkaupstaður/Bolungarvik-Óseyri (VF) 
       H A201   0.020 IP15HJ     RÚV Ras 1,Barðardalur/Halldórsstaðir (NE) 
       H A201   0.010 IP24UP     RÚV Ras 1,Djupivogur/Bóndahóll (AU) 
 93.60 H A201   0.200 IP24WT     RÚV Ras 1,Breiðdalur/Staðarborg (AU) 
       H A202   0.200 IP16MC     RÚV Ras 2,Öxarfjörður/Auðbjargarstaðir (NE) 
       H A202   0.040 HP85BO     RÚV Ras 2,Talknafjarðarhreppur/Talknafjörður-Þinghóll (VF) 
 93.70 H A142   2.000 IP05GR     Útvarp Saga,Skagafjörður/Hegranes (NV) 
         F999         IP05ER     Kiss FM,Skagafjörður/Sauðarkrókur (NV) 
         A201         IP15JR     RÚV Ras 1,Laxardalur/Auðnir (NE) 
 93.80 H A201  14.000 IP03NK     RÚV Ras 1,Hafell (SN) 
 93.90   A203         HP85MI     Bylgjan,Flatey (VE) 
         A251         IP15AS     K100,Akureyri/Vaðlaheiði (NE) 
 94.00 H A202   0.250 IP25FC     RÚV Ras 2,Jökuldalur/Haurð (AU) 
 94.10 H A202   0.120 HP94TC     RÚV Ras 2,Rjupnahæð/Langholtsfjall (SN) 
         A210         HP94BC     Útvarp 101,Reykjavik (HO) 
