 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.08 H        0.005            4X4SIX,Jerusalem KM71NU 
 87.60 V 42E5  40.000 KM72SX     KAN 88,Safed=Tzefat (HZF) 
       V 42E5  40.000 KM71OS     KAN 88,Jerusalem/Eitanim (JSM) 
       H        1.000 KM70JO     ,Mitzpe Ramon (Negev) (HDM) (i)
         4205         KM70MA     KAN 88,Gerofit (Negev) (HDM) 
 87.80   2233         KM71OS     Yaboos FM,Jerusalem area (JSM) 
 88.00 H 42E5   8.000 KM72JB     KAN 88,Tel Aviv (TAV) 
       H 4205   1.000 KM73SE     KAN 88,Menara (HZF) 
         42E5         KM72KH     KAN 88,Netanya (HMZ) 
 88.20   42E5   8.000 KM71NP     KAN 88,Efrat 
         4205         KM70NN     KAN 88,Sapir (Negev) (HDM) 
 88.50 H 42E5   5.000 KM71JE     KAN 88,Beer Sheva (HDM) 
       H 42E5   1.000 KM72MS     KAN 88,Haifa/Karmel (HAF) 
         4205         KL79LN     KAN 88,Eilat (HDM) 
 88.80 V 42E4  40.000 KM71OS     MaKan,Jerusalem/Eitanim (JSM) 
         42E4  40.000 KM72SX     MaKan,Safed=Tzefat (HZF) 
       V 4204   2.000 KM72MS     MaKan,Haifa/Karmel (HAF) 
 89.10   4715         KM71HT     Pervoe Radio,Ashdod (HDM) 
 89.30   F001         KM71OS     Galey Israel,Jerusalem area (JSM) 
 89.50 V 441A         KM71LS     Jerusalem Radio 101 FM,Beit Shemesh (JSM) 
 89.70          2.000 KM73SE     KAN Gimmel,Menara (HZF) 
       H 4203   1.000 KL79LN     KAN Gimmel,Eilat (HDM) 
       H 42E3   1.000 KM72SN     KAN Gimmel,Kohav HaYarden (HZF) 
 90.00 H 1110   6.300 KM72KK     Radio Emtza HaDerech/Tishim,Hadera (HAF) 
 90.50          8.000 KM72KH     KAN Reshet Moreshet,Netanya (HMZ) 
         42EA         KM71NP     KAN Reshet Moreshet,Efrat 
 90.80   42EA   2.000 KM73SE     KAN Reshet Moreshet,Menara (HZF) 
 91.00 H 4418   5.000 KM71JX     Radio Lev HaMedina 91,Rishon LeZion (HMZ) 
 91.30 V 42E6  40.000 KM72SX     KAN Kol HaMusika,Safed=Tzefat (HZF) 
       V 42E6  40.000 KM71OS     KAN Kol HaMusika,Jerusalem/Eitanim (JSM) 
       H 42E6   2.000 KM70MA     KAN Kol HaMusika,Gerofit (Negev) (HDM) 
 91.50 V 4303   5.000 KM72TS     Kol Rega,Mevo Hama (HZF) 
 91.60                KM71QL     Galgalatz,unknown (HDM) 
 91.80 V 42E9  40.000 KM71OS     Galgalatz,Jerusalem/Eitanim (JSM) 
         4209  20.000 KM71NT     Galgalatz,Abu Ghosh (JSM) 
         42E9   1.000 KM72SN     Galgalatz,Kohav HaYarden (HZF) 
         4209         KM70NN     Galgalatz,Sapir (Negev) (HDM) 
 92.10   4287         KM71OS     Kol Barama,Jerusalem (JSM) 
 92.30 V 4204  80.000 KM72MS     MaKan,Haifa/Karmel (HAF) 
         42E4         KM71JE     MaKan,Beer Sheva (HDM) 
         4204         KL79LN     MaKan,Eilat (HDM) 
 92.50 H 42EA  40.000 KM72SN     KAN Reshet Moreshet,Kohav HaYarden (HZF) 
       V 42EA  40.000 KM71OS     KAN Reshet Moreshet,Jerusalem/Eitanim (JSM) 
         42EA         KM72SX     KAN Reshet Moreshet,Safed=Tzefat (HZF) 
 92.80   4414         KM71OS     Radio Kol Chai,Jerusalem (JSM) 
 93.00 V 4414   3.200 KM72KB     Radio Kol Chai,Bnei Brak=Bene Beraq (TAV) 
       H              KM72KB     ,Tel Aviv (TAV) (p)
 93.30 H 4714   5.000 KM72LB     Radio Lev HaMedina 91,Rosh HaAyin (HMZ) 
 93.50   42E9         KM70MA     Galgalatz,Gerofit (Negev) (HDM) 
         42E9         KM72JB     Galgalatz,Tel Aviv (TAV) 
         42E9         KM72SX     Galgalatz,Safed=Tzefat (HZF) 
 93.70         40.000 KM72NL     MaKan,Katzir 
         42E4   8.000 KM71NP     MaKan,Efrat 
         42E4   8.000 KM72KH     MaKan,Netanya (HMZ) 
