 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 87.50 V FFFF   5.000 KM02BC     tests,Benghazi (BGA) 
         0000   5.000 JM62OU     unid,Tarabulus=Tripoli (TBL) 
 87.70   noPI  10.000 JM62OU     Al Saba FM,Tarabulus=Tripoli (TBL) 
         0000   5.000 JM72MJ     Al Manar,Misratah (MIS) 
 87.80 V        0.300 JM81HB     Radio Makmadas,Sirte=Sirt=Surt (SRT) 
 87.90 V        1.000 JM62MT     Al-Badia FM,Janzour (TBL) 
                      KM02US     Radio Al-Bayda,Al-Bayda'=El-Beida (JAK) 
                      JM62TK     Radio Holy Koran,Tarhouna (MQB) 
 88.10 V EF94   5.000 KM02BC     Radio Sawa,Benghazi (BGA) 
                1.500 JM62GS     Radio Aloula FM,Surman (ZAW) 
 88.30   D201         JM72AN     Radio Msallata,Msallata (MQB) 
 88.50 V 20FE   5.000 KM02BC     Libya FM 88.5,Benghazi (BGA) 
       V        5.000 JL89BE     Waddan FM (Idhaet Wadan al Masmueuh),Waddan (JUF) 
         1007   3.000 JM62OU     Ajwa FM,Tarabulus=Tripoli (TBL) 
       V 20FE   1.000 KM12HR     Libya FM 88.5,Darnah=Derna (DRN) 
                      KM02BC     Libya FM,Benghazi (BGA) (i)
 88.80 H 0013  10.000 JM62OV     Al-Shababiyah Radio,Tarabulus/Al Dahra (TBL) 
 88.90                JL79XC     Hun FM,Houn=Hun (JUF) 
         FFFF         JM72MJ     Radio Ram,Misratah (MIS) (i)
 89.10 V        5.000 JM72MJ     Al Tanasuh,Misratah (MIS) 
                                 Al-Sahiya FM,Tarabulus=Tripoli/Ain Zara (TBL) 
                      JM61AW     Radio Jadu al-Hurra,Jadu (JGH) 
 89.30 H      100.000 KM02BC     Libya Alwatanya Radio,Benghazi (BGA) 
       H      100.000 KM12HR     Radio Assaraya,Darnah=Derna (DRN) 
                      JM72AN     Al Tanasuh,Msallata (MQB) 
 89.50   FFFF   5.000 JM62OU     Al Kitab wa Assunna,Tarabulus/Zanatah (TBL) 
 89.70   D361         JM52XV     Riqdalin Local Radio - Radio Ashurok,Riqdalin (NQK) 
 89.90 H       10.000 KM02BC     Al Quran Al Karem,Benghazi (BGA) 
                      KM00CS     Ajdabiya Local Radio,Ajdabiya (WAH) 
                                 Islam Sound,Al Chums 
         FFFF         KM01CC     Libya al wataniya,Sultan (WAH) 
 90.00   D311         JM62OU     Sama FM,Tarabulus=Tripoli (TBL) (i)
 90.10   D20B   5.000 JM62WQ     Radio Al Shorooq Kasr Al Khyar,Qaser Al Khiar (MQB) 
         0000         KM12HR     Radio Sama FM,Darnah=Derna (DRN) 
 90.30 H FFFF   5.000 JM62OV     Radio Libya,Tarabulus/Al Dahra (TBL) 
                      JM72MJ     Misratah Local Radio,Misratah (MIS) 
 90.50   5000   2.000 JM62NV     Qimam al-Andalus Quran Radio,Tarabulus/Hay al-Andalus (TBL) 
         5000         KM02BC     BBN FM,Benghazi (BGA) 
         5000         JM72MJ     Radio Al-Furqan,Misratah (MIS) 
 90.70                JM62OV     Radio Al-Saa,Tarabulus/Suq al-Juma'a (TBL) 
         FF0F         KM01CC     unid,Sultan (WAH) 
 90.90 V        5.000 KM02BC     Al Menhaj Sunnah,Benghazi (BGA) 
                      JM61AW     Radio sawt ALhaq,Jadu (JGH) 
 91.00                JM72GL     Zliten Radio,Zliten (MQB) 
 91.10   0000   5.000 JM62OU     Libo FM,Tarabulus=Tripoli (TBL) 
       V        5.000 JM62OU     LIBO FM,Tarabulus/Zanatah (TBL) 
         3180   1.000 JM72MJ     VOA1 Hits,Misratah (MIS) 
 91.20          1.000 KM02BC     Al Minhaj,Benghazi (BGA) (c)
                                 unid,unknown (-) (u)
 91.30                           unid,unknown (-) (u)
 91.50          1.000 JM62OU     BBC WS,Tarabulus=Tripoli (TBL) 
                      JM81HB     Al-Turathiya,Sirte=Sirt=Surt (SRT) 
                      KM02BC     BBC WS Arabic,Benghazi (BGA) 
         300C                    BBC WS Arabic,Zawiyya (ZAW) 
                      JM72MJ     BBC WS Arabic,Misratah (MIS) 
 91.90   FFFF   5.000 JM62LC     Gheryan Local Radio,Gharyan=Gharian (JGH) 
         FFFF         KM02BC     Radio Al Hayah,Benghazi (BGA) 
 92.10                JM62OU     Al-Amal Radio,Tarabulus=Tripoli (TBL) 
 92.30 M       10.000 JM50VI     unid,Al-Malaha al-Garbiya (JGH) 
                                 Al Tanasuh,Tripoli 
                      JM71AS     Beni Waleed Local Radio,Bani Walid (MIS) 
         noPI         KM02KM     Idaat al-Marj al-Mahaliya / Local radio al-Marj,Al Marj (MRJ) 
 92.50                JM62OU     Echo FM,Tarabulus=Tripoli (TBL) (i)
                      JM72MJ     Flash FM,Misratah (MIS) 
 92.90   BFFF   1.000 JM62OU     Radio Ranwa,Tarabulus=Tripoli (TBL) 
                      KM02BC     Radio Sanabil FM,Benghazi (BGA) 
 93.10                KM02BC     Radio Assaraya,Benghazi (BGA) 
 93.20 M       10.000 JM62UR     Radio Assaraya,Gasr Garabulli (TBL) (c)
                      JM62NU     Radio Assaraya,west of Tripoli (TBL) (c)
 93.40 V        5.000 JM72MJ     Al Watania Misurata,Misratah (MIS) 
                1.000 JM62OU     Radio Al Rasmia,Tarabulus=Tripoli (TBL) 
 93.60                JM62QU     Radio Assaraya,east of Tripoli (TBL) (c)
 93.70                JM51LU     Radio.Alseean FM,Nalut (NLT) 
 93.80 V        1.000 JM62OU     RTV Lebda,Tarabulus=Tripoli (TBL) (c)
         D258         JM62OU     RTV Lebda,Tarabulus/Zanatah (TBL) 
 93.90   FFFF         KM02BC     Radio Al Omah,Benghazi (BGA) 
 94.10                JM62OU     Karawan FM,Tarabulus=Tripoli (TBL) 
                      JM72MJ     ,Misratah (MIS) (c)
 94.30 V 0000   5.000 JM81HB     Al-Wataniya,Sirte=Sirt=Surt (SRT) 
         D117         JM62UR     Radio Algaraboli,Gasr Garabulli (TBL) 
                      KM01CC     Radio Assaraya,Sultan (WAH) (c)
 94.50          1.000 JM62IR     Al Bayan,Az Zawiya— (ZAW) 
 94.70                JM62MM     Wershefana Radio,Al-Aziziyah (Al-'Aziziyah) (JIF) 
 94.80                           ALRUJBAN FM,Alrujban=Ar Rujban (JGH) 
 94.90 V 1039   5.000 JM62OU     RTV Libya 1,Tarabulus/Zanatah (TBL) 
                      JM62OU     Radio Assaraya,Tarabulus=Tripoli (TBL) (c)
 95.00 H 0000         JM72MJ     Al-Huda,Misratah (MIS) 
                      JM62LC     Radio Libya,Gharyan=Gharian (JGH) 
 95.10 V       10.000 JM62OU     Radio Zain FM,Tarabulus=Tripoli (TBL) 
                                 Radio Ain Zara,Ain Zara (TBL) 
 95.20                JM62OU     Radio Assaraya,Tarabulus=Tripoli (TBL) (c)
 95.30                           Radio Assaraya,unknown (c)
       H 5000         JM81HB     Sirt Local Radio,Sirte=Sirt=Surt (SRT) 
                      JM40RD     unid,Ghadames (NLT) 
 95.40                JM62OU     Radio Assaraya,Tarabulus=Tripoli (TBL) (c)
 95.50 V FFFF   1.000 KM02BC     Jawak FM,Benghazi (BGA) 
                      JM62OU     Al-Madina Radio,Tarabulus=Tripoli (TBL) 
                      KM12HR     Radio Assaraya,Darnah=Derna (DRN) 
                      KM01CC     Radio Assaraya,Sultan (WAH) (c)
 95.60 H       10.000 JM62LC     Al-Wataniya,Gharyan=Gharian (JGH) (c)
                      KM01CC     unid,Sultan (WAH) 
 95.80        100.000 JM71AS     unid,Bani Walid (MIS) 
 95.90                JM72MJ     Libya Cultual Radio,Misratah (MIS) 
 96.30   FFFF         JM62OU     Al Kalema Al Taiba 96.3,Tarabulus=Tripoli (TBL) 
 96.50   FFFF         JM72MJ     Wadah FM 96.5,Misratah (MIS) 
 96.60 H noPI  10.000 JM62PW     Al-Wataniya,Tarabulus/Al Jalaa (TBL) 
 96.90                JM62OU     LY Fm,Tarabulus=Tripoli (TBL) 
                      KM02BC     Radio Raad,Benghazi (BGA) 
 97.10                JM62OV     Monte Carlo Doualiya,Tarabulus/Suq al-Juma'a (TBL) 
 97.50         10.000 JM62OU     Al Turath FM,Tarabulus=Tripoli (TBL) 
       V        5.000 JM72MJ     Tobactes FM,Misratah (MIS) 
                      KM12HR     Idaat al-Salafi (Minhaj Al-Sahaba),Darnah=Derna (DRN) 
 97.55                JM62NU     Radio Assaraya,west of Tripoli (TBL) (c)
 97.70                JM62MT     Libya al-Hurra,Janzour (TBL) 
 97.90 V FFFF   5.000 JM72CP     Beladi FM,Al Khums=Khoms (MQB) 
                1.000 JM62OU     Radio Itthad,Tarabulus=Tripoli (TBL) 
 98.00 H       10.000 JM81HB     Radio Rabat al-Amami,Sirte=Sirt=Surt (SRT) 
                      KM02VS     Aljabal Akhdar Local Radio,Al-Bayda'=El-Beida (JAK) 
                      KM12WB     Sawt ul Libya al-Hurra,Tobruk=Tubruq (BUT) 
 98.10                KM02US     Al-Bayda Radio,Al-Bayda'=El-Beida (JAK) 
                      JM62BW     Kasas FM,Zuwara (NQK) 
 98.20                JM51LU     Radio Nalut al-Hurra,Nalut (NLT) 
 98.30                JM51LU     Nalut Radio 98.3 FM,Nalut (NLT) 
 98.40                JM62LC     Al-Shababiyah Radio,Gharyan=Gharian (JGH) 
 98.50   5200         JM62ES     Jmail FM,Al-Ujilat=Al Ejeylat (NQK) 
 98.70          3.500 KM12WB     Radio Alwasat,Tobruk=Tubruq (BUT) 
                3.500 KM01CC     Radio Alwasat,Sultan (WAH) 
                3.500 KM02US     Radio Alwasat,Al-Bayda'=El-Beida (JAK) 
                2.000 JM72MJ     Radio Alwasat,Misratah (MIS) 
         5000   1.000 JM62OU     Radio Alwasat,Tarabulus=Tripoli (TBL) 
 98.80                JM62OU     Radio Assaraya,Tarabulus=Tripoli (TBL) (c)
 98.90 V FFFF   5.000 KM02BC     Radio Benghazi,Benghazi (BGA) 
                      JM62IR     Radio Sada FM,Az Zawiya— (ZAW) 
 99.00 V 0000   5.000 JM62QV     Tajoura Radio FM,Tajoura (TBL) 
