 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.02 V        0.001            ER1SIX,Nr Kishinev KN47JG 
 65.90 H       17.000 KN47AR     ,Bali/Mindretii Noi (SG) (p)
 66.02 H       17.000 KN47GC     ,Straeni/STRV (ST) (p)
 66.17 V        0.300 KN46TU     ,Tiraspol (P-TS) (p)
 66.41 V        0.250 KN47JB     Jurnal FM,Chiinau/Universitatea Agrara (UASM) (CU) (i)
 66.53 H        0.100 KN48DD     ,Soroca (1) (SR) (p)
 66.68 H        8.000 KN47AR     Radio Moldova Actualitai,Bali/Mindretii Noi (SG) (i)
 66.80 H       20.000 KN47GC     ,Straeni/STRV (ST) (i)
 66.98 V        0.010 KN48EA     ,Slobozia-Cremene (SR) (p)
 67.37 H       20.000 KN45DW     Radio Moldova Actualitai,Cahul=Kagul (CH) 
 67.46 H        8.000 KN38PE     BBC WS,Edine/SRTV (ED) 
       H        8.000 KN38PE     Jurnal FM,Edine/SRTV (ED) (i)
 67.58 H       20.000 KN47GC     Muz FM,Straeni/STRV (ST) (i)
 67.79 V        0.200 KN48DD     Vocea Basarabiei,Soroca (1) (SR) 
 68.00 H       20.000 KN37WE     Radio Moldova Actualitai,Ungheni/SRTV Cetireni (UN) (i)
 68.24 H        8.000 KN47AR     ,Bali/Mindretii Noi (SG) (i)
 68.30 V        0.600 KN45DW     ,Cahul=Kagul (CH) (p)
 68.39 V        0.100 KN47JW     ,Climauii de Jos (SD) (p)
 68.48 H       20.000 KN47GC     RFE/RL,Straeni/STRV (ST) 
 68.60 V        0.050 KN46TP     Unda Talmazeana,Talmaza (SV) 
 68.66 V        0.020 KN37WU     ,Corlateni (RS) (p)
 68.93 V        0.200 KN46GT     Radio Micul Samaritean,Hinceti (HN) 
 68.99 V        1.000 KN38PE     Jurnal FM,Edine (ED) 
 69.14 H       20.000 KN45DW     BBC WS,Cahul=Kagul (CH) 
 69.20 V        1.300 KN37WS     ,Bali (BL) (p)
 69.44 V        0.200 KN47KA     Radio Micul Samaritean,Chiinau/Str. Bucureti 68 (CU) 
 69.53 H       20.000 KN37WE     BBC WS/RFE/RL,Ungheni/SRTV Cetireni (UN) 
       H       20.000 KN37WE     ,Ungheni (UN) (i)
 69.74 V        0.500 KN46IG     Radio Bugeac,Comrat (G-CO) 
 69.86 H        0.200 KN46LI     ,Basarabeasca (BS) (p)
 69.95 V        0.200 KN45HV     ,Taraclia (TR) (p)
 70.13 V        0.010 KN46LD     ,Tvardia (TR) (p)
 70.28 H        0.100 KN47KA     ,Chiinau (CU) (p)
 70.31 H        8.000 KN38PE     RFE/RL,Edine/SRTV (ED) 
 70.46 V        0.030 KN47DG     Triumf FM,Calarai (CL) 
 70.52 V        0.040 KN47JW     ,Vadul-Racov (SD) (p)
 70.61 V        0.010 KN47BL     ,Dumbravia (SG) (p)
 70.85 V        0.010 KN45EN     ,Cimichioi (G-VL) (p)
 70.91 V        0.010 KN37TS     ,Petrunea (GL) (p)
 71.00 V        0.300 KN47KB     ,Chiinau/Ricani (CU) (i)
 71.15 V        0.150 KN37WS     ,Bali (1) (BL) (c)
 71.24 H       20.000 KN46RP     Radio Moldova Actualitai,Caueni (CS) 
 71.38 V        0.150 KN38VA     ,Drochia (DR) (c)
 71.48 H        0.125 KN48IA     ,Sanatauca (FR) (p)
 71.57 V        2.500 KN46JV     Vocea Basarabiei,Miletii Mici (IL) 
 71.66 H        0.200 KN46DK     Radio MEDIA,Leova (LV) (p)
 71.72 H        0.200 KN46LI     ,Basarabeasca (BS) (p)
 72.02 H       20.000 KN47GC     Radio Moldova Actualitai,Straeni/STRV (ST) (i)
 72.35 V        1.000 KN47MR     Radio Moldova Actualitai,Rezina (RZ) (i)
       V        0.010 KN38QD     ,Parcova (ED) (p)
 72.62 H        0.100 KN37WE     Euronova FM,Ungheni/SRTV Cetireni (UN) 
 72.71 H        0.200 KN48IA     ,Camenca (P-CC) (p)
       H        0.100 KN47JA     Hit Radio (Radio 21),Chiinau (0) (CU) (p)
 72.80 H       20.000 KN46RP     ,Caueni (CS) (i)
 73.28 V        0.200 KN47JA     ,Chiinau (0) (CU) (p)
 73.64 V        0.010 KN48EC     ,Racova (SR) (p)
 73.70 V        0.100 KN47QG     Maiac FM,Maiac/IDC (P-GR) 
 73.97 V        0.010 KN48AG     ,Cremenciug (SR) (p)
 74.00 V        0.350 KN46UR     Radio PMR/Radio 1,Slobozia (P-SL) (i)
 87.60 V 0876   0.250 KN47JB     Radio Vocea Speranei,Chiinau/Dumbrava (CU) 
 87.70 V        4.000 KN48DD     ,Soroca (SR) (p)
       V        4.000 KN46KB     ,Ceadir-Lunga (G-CG) (p)
 87.80 H        3.000 KN47DG     Cultura Divina,Calarai (CL) (p)
       V        0.125 KN46RP     Naional FM,Caueni (CS) (p)
         9620         KN46RP     Radio ONE,Caueni (CS) 
 87.90 V 7250   3.000 KN38PE     Radio Noroc,Edine (0) (ED) 
 88.00 V 0880   1.000 KN47KA     Muz FM,Chiinau (CU) 
 88.10 V        2.500 KN46CG     ,Cantemir (CT) (p)
         9750         KN45EQ     Radio Albena,Vulcaneti (G-VL) 
 88.20 V 1001   0.320 KN47EM     Jurnal FM,Teleneti (TL) 
 88.30   1212   0.700 KN46TU     Tiraspol FM,Tiraspol (P-TS) 
 88.40 V        4.000 KN48DD     ,Soroca (SR) (p)
       H 9210   0.031 KN46RP     Publika FM,Caueni (CS) 
 88.60 V noPI   0.300 KN47JA     MEGAPOLIS FM 88.6 FM,Chiinau (CU) 
 88.70 V 9210   8.000 KN38PE     Publika FM,Edine (0) (ED) 
 88.80   1211  10.000 KN48IA     Radio Shanson,Camenca (P-CC) 
         1211  10.000 KN46TU     Radio Shanson,Tiraspol (P-TS) 
         1211  10.000 KN47QE     Radio Shanson,Maiac (P-GR) 
         1211  10.000 KN47NQ     Radio Shanson,Varancau (P-RB) 
       V 7250   3.000 KN45EQ     Radio Albena,Vulcaneti (G-VL) 
 88.90 H        0.350 KN46LI     ,Basarabeasca (BS) (p)
 89.10 V 1059   2.000 KN47KA     Retro FM,Chiinau (CU) 
 89.30 H        4.000 KN46KB     ,Ceadir-Lunga (G-CG) (p)
       V        1.000 KN46SU     Love Radio,Bender=Tighina (BE) 
       V        1.000 KN46SU     Novaya Volna,Bender=Tighina (BE) 
 89.40 H        3.000 KN47MS     ,Ribnia (P-RB) (p)
       V 7210   0.400 KN46DK     Radio Plai,Leova (LV) 
 89.50 V 0880   4.000 KN38PE     Muz FM,Edine (0) (ED) 
 89.60 V 0896   0.750 KN46KX     Radio Chiinau,Chiinau/Botanica (CU) 
                0.350 KN46UR     Hit FM,Slobozia (P-SL) 
 89.80 H        0.300 KN46UM     ,tefan Voda (SV) (p)
 89.90 V        0.125 KN46DK     Hit FM,Leova (LV) 
 90.00 V        0.150 KN37WS     Serebryanyy Dozhd,Bali (BL) 
 90.10          0.700 KN46TU     Retro FM,Tiraspol (P-TS) 
       V        0.350 KN46LI     ,Basarabeasca (BS) (p)
 90.20 H 7250   0.125 KN47CC     Radio Noroc,Nisporeni (NS) 
 90.30 V        8.000 KN47LS     Muz FM,Rezina (RZ) 
 90.40 V 1069   1.800 KN45DW     Cool Radio,Cahul=Kagul (CH) 
       V        0.100 KN47NC     Radio ONE,Vadul lui Voda (CU) 
 90.50 V 0088   2.000 KN37WS     Muz FM,Bali/CET Nord (BL) 
                0.350 KN46UR     Radio Alla,Slobozia (P-SL) 
 90.60 H 0921   0.200 KN46JM     Publika FM,Cimilia (CM) 
 90.70 V 236E   3.100 KN47KA     Aquarelle FM,Chiinau (CU) 
       V        0.350 KN38SK     ,Ocnia (OC) (p)
 90.90 V        5.000 KN46RP     Serebryanyy Dozhd,Caueni (CS) 
 91.00 V 9770   3.000 KN37WS     Maestro FM,Bali (BL) 
 91.10 H        0.200 KN47KA     Radio 911,Chiinau (CU) 
 91.20 V 1001   8.000 KN47LS     Jurnal FM,Rezina (RZ) 
 91.40 V        1.600 KN47QD     ,Grigoriopol (P-GR) (p)
       V        0.200 KN38VA     Drochia FM,Drochia (DR) 
 91.50 V 0921  20.000 KN45DW     Publika FM,Cahul=Kagul (CH) 
                0.700 KN46UR     Yumor FM,Slobozia (P-SL) 
 91.60 V        3.000 KN38SK     ,Ocnia (OC) (p)
       V        0.500 KN46HU     Love Radio Moldova,Hinceti (0) (HN) 
 91.70 V 5000   0.208 KN47LS     Diaspora FM,Rezina (RZ) 
 91.80 H        0.200 KN46GU     ,Hinceti (HN) (p)
 91.90 V 7157   3.000 KN46RP     Vocea Basarabiei,Caueni (CS) 
 92.00 H        2.000 KN37WS     Radio ONE,Bali/Apa-Canal (BL) 
 92.10 V        0.600 KN46DK     Publika FM,Leova (LV) 
       V 9210   0.350 KN47KA     Publika FM,Chiinau (CU) 
 92.30 V 0088   1.250 KN37WE     Muz FM,Ungheni/SRTV Cetireni (UN) 
 92.50 V 1203   2.000 KN37SW     Radio Moldova Tineret,Ricani (RS) 
 92.60 H        3.000 KN47OG     ,Dubasari (P-DB) (p)
       V        2.000 KN45DW     Muz FM,Cahul=Kagul (CH) 
       V 1202   0.138 KN47KJ     Radio Plai,Orhei (OR) 
 92.70 H        0.300 KN38NI     Vocea Basarabiei,Briceni (BR) 
 92.80 V       20.000 KN37WE     ,Ungheni/SRTV Cetireni (UN) (p)
       H 5000   0.400 KN46KX     Diaspora FM,Chiinau/Cecani (CU) 
 92.90 H        0.350 KN47LS     ,Rezina (RZ) (p)
 93.00 V        0.295 KN46RP     Radio DOR 93,0,Caueni (CS) 
 93.10 V 5000   0.050 KN47BP     Diaspora FM,Singerei (SG) 
 93.20 V        3.200 KN48DD     ,Soroca (SR) (p)
 93.30 H        3.200 KN47NF     ,Criuleni (CR) (p)
       V 1209   2.000 KN45DW     Radio Chiinau,Cahul=Kagul (CH) 
       V 0933   0.158 KN47KB     Radio ZUM,Chiinau (CU) 
 93.40 V 0921   0.125 KN37UO     Publika FM,Faleti (FL) 
 93.50 V        0.250 KN46JM     Hit FM,Cimilia (CM) 
 93.60 H        0.350 KN47LS     ,Rezina (RZ) (p)
       V        0.020 KN38PE     Serebryanyy Dozhd,Edine (ED) 
 93.70                KN46TU     Radio Dacha,Tiraspol (P-TS) 
 93.80 V 1896   0.200 KN37WE     Radio Chiinau,Ungheni/SRTV Cetireni (UN) 
 94.00 V        5.000 KN46JM     ,Cimilia (CM) (p)
       V        3.000 KN48DD     ,Soroca (SR) (p)
       V 1201   0.562 KN47JA     Radio Moldova Actualitai,Chiinau/Telecentru (CU) 
 94.10 H        3.000 KN47MS     ,Ribnia (P-RB) (p)
 94.30 V        1.250 KN38PE     ,Edine (ED) (p)
 94.40 V 9210   0.125 KN47EM     Publika FM,Teleneti (TL) 
 94.50 V        4.000 KN46IG     ,Comrat (G-CO) (p)
 94.60 V        0.025 KN46KA     Hit FM,Ceadir-Lunga (G-CG) 
 94.70 V 8800   1.000 KN46RU     Muz FM,Varnia (Tighina-2) (AN) 
 94.90 V        3.000 KN37WE     ,Ungheni/SRTV Cetireni (UN) (p)
       V 0921   1.000 KN38NI     Publika FM,Briceni (BR) 
 95.00 V        1.000 KN48IA     ,Camenca (P-CC) (p)
 95.10 V 3180   4.000 KN46IG     Rodnoe Radio,Comrat (G-CO) 
 95.20 V 1001   0.200 KN47BP     Jurnal FM,Singerei (SG) 
 95.30 V        0.300 KN38TG     ,Dondueni (0) (DN) (p)
 95.40 V        8.000 KN46SU     Radio Moldova Tineret,Bender=Tighina (BE) 
 95.60 V        3.200 KN47DV     ,Floreti (FR) (p)
 95.80 V 0921   0.063 KN38TG     Publika FM,Dondueni (0) (DN) 
 95.90 V 5000   1.000 KN46QT     Diaspora FM,Proteagailovca (BE) 
       V 0959   0.100 KN46IH     Radio Albena,Comrat (G-CO) 
 96.20 V 9620   0.125 KN46LV     Radio ONE,Singera (Chiinau) (CU) 
 96.40 V        8.000 KN46TU     ,Tiraspol (P-TS) (p)
 96.60 V        3.200 KN45EQ     ,Vulcaneti (G-VL) (p)
       V        0.700 KN46CG     Radio Plai,Cantemir (1) (CT) (p)
 96.70 V 0967   0.200 KN47JA     Radio Alla,Chiinau (CU) 
 97.00 V        2.500 KN45HV     Radio Focus,Taraclia (TR) 
       V        1.000 KN37SW     ,Ricani (RS) (p)
       H 5000   0.350 KN47CC     Diaspora FM,Nisporeni (NS) 
