 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 87.60   4201         KN11GN     Makedonsko Radio 1 - Radio Skopje,Kalugerica (MRD) (SE) 
         D220         KN01RF     Metropolis Radio Network,Topolcani (PE) 
 87.70 H 4201   0.050 KN01KP     Makedonsko Radio 1 - Radio Skopje,Tajmiste (SW) 
         4201         KN01FN     Makedonsko Radio 1 - Radio Skopje,Spas (SW) 
 87.80 H 4203  10.000 KN01QX     Makedonsko Radio 3 (Treta prog.),Skopje/Vodno (SK) 
       H 4201   0.200 KN01UN     Makedonsko Radio 1 - Radio Skopje,Izvor (VA) 
 87.90   FFFF         KN01XU     Radio S,Sveti Nikole/ul. Karposeva 76-A (EA) 
 88.00 H 4201   0.500 KN01LV     Makedonsko Radio 1 - Radio Skopje,Suva Gora (PO) 
       V 4202   0.100 KN12EG     Makedonsko Radio 2 (Vtora prog.),Zidilovo (NE) 
         4202         KN01PN     Makedonsko Radio 2 (Vtora prog.),Makedonski Brod 1/Lokvica (SW) 
         4203         KN01SJ     Makedonsko Radio 3 (Treta prog.),Treskavec (PE) 
                      KN02MA     Radio Focus,Tetovo/Gajre (PO) 
 88.10                KN11HK     Hit Radio,Strumica/Carevi Kuli (SE) 
 88.30   4201   0.500 KN11CR     Makedonsko Radio 1 - Radio Skopje,Stip 1/Isar (EA) 
       H 4201   0.100 KN01JH     Makedonsko Radio 1 - Radio Skopje,Debarca (SW) 
       H 4201   0.050 KN01VP     Makedonsko Radio 1 - Radio Skopje,Veles (VA) 
         4221   0.050 KN01VQ     Radio Antenna 5,Veles/Sveti Ilija (VA) 
 88.40   4201         KN01NG     Makedonsko Radio 1 - Radio Skopje,Sopotnica (PE) 
                      KN01QX     Radio Vati,Skopje/Sredno Vodno (SK) 
 88.50   4000         KN02UD     Radio Bravo,Kumanovo (NE) 
 88.60 V              KN11FI     Makedonsko Radio 1 - Radio Skopje,Udovo (MRD) (SE) 
         4201         KN01KJ     Makedonsko Radio 1 - Radio Skopje,Mramorec (SW) 
 88.80 H 4201   5.000 KN02KA     Makedonsko Radio 1 - Radio Skopje,Tetovo/Popova Sapka (PO) 
       H 4201   1.000 KN01LK     Makedonsko Radio 1 - Radio Skopje,Kicevo/Cocon (SW) 
 88.90   D220         KN01VQ     Metropolis Radio Network,Veles/Sveti Ilija (VA) 
 89.00 H        1.000 KN02UD     Radio Kumanovo,Kumanovo (NE) 
         42C9         KN01HM     Kanal 77,Debar/Stogovo (SW) 
         4203         KN00KX     Makedonsko Radio 3 (Treta prog.),Tomoros (PE) 
                      KN01JC     Radio Ohrid,Ohrid/SRC Biljanini izbori (SW) 
 89.10   5020         KN01QX     Life Radio,Skopje/Sredno Vodno (SK) 
         4201         KN11HJ     Makedonsko Radio 1 - Radio Skopje,Popcevo (SE) 
 89.20 H 4201   1.000 KN11LS     Makedonsko Radio 1 - Radio Skopje,Bukovik (EA) 
         4221   0.100 KN11GD     Radio Antenna 5,Gevgelija/Mrzenski Rid (SE) 
 89.30                KN01LM     Radio Medison,Kicevo/Hotel Union Imperial (SW) 
                      KN01KT     Radio Pro FM,Gostivar (PO) 
 89.40   42C9         KN01VQ     Kanal 77,Veles/Sveti Ilija (VA) 
 89.50   1234         KN01SI     Radio 5 Coki,Prilep/Zito Prilep (PE) 
 89.70   42C9   1.000 KN01QX     Kanal 77,Skopje/Vodno (SK) 
         42C9         KN01JR     Kanal 77,Mavrovo/Koza (PO) 
 89.80   4201         KN01XL     Makedonsko Radio 1 - Radio Skopje,Kavadarci/Ljubas (VA) 
 89.90 V        0.100 KN01HH     ,Globocica (SW) (p)
       H 4201   0.050 KN01IM     Makedonsko Radio 1 - Radio Skopje,Lazaropole (PO) 
 90.00 H 4202   0.500 KN01LV     Makedonsko Radio 2 (Vtora prog.),Suva Gora (PO) 
       H 4202   0.500 KN12AD     Makedonsko Radio 2 (Vtora prog.),Stracin (NE) 
       H 4202   0.200 KN01UN     Makedonsko Radio 2 (Vtora prog.),Izvor (VA) 
         4201         KN01LO     Makedonsko Radio 1 - Radio Skopje,Oslomej (SW) 
         4203         KN01HP     Makedonsko Radio 3 (Treta prog.),Zirovnica (PO) 
 90.30                KN01SI     Radio Ternipe,Prilep/Zito Prilep (PE) 
         44A5         KN01QX     Sportsko Radio,Skopje/Sredno Vodno (SK) 
 90.40                           Play FM,Visni (SW) 
 90.50 H 4202   5.000 KN11ET     Makedonsko Radio 2 (Vtora prog.),Stip/Turtel (EA) 
       H 4203   0.100 KN12EG     Makedonsko Radio 3 (Treta prog.),Zidilovo (NE) 
         4201         KN01PR     Makedonsko Radio 1 - Radio Skopje,Tazevo (SW) 
                      KN01NR     Makedonsko Radio 1 - Radio Skopje,Fojnik (SW) 
 90.70   4201         KN01NV     Makedonsko Radio 1 - Radio Skopje,Sedlarevo (PO) 
 90.80 H        0.500 KN01QX     Urban FM,Skopje/Sredno Vodno (SK) 
