 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.01 V        0.020            4O0BMN,Podgonca JN92PK 
 87.60 V 30FE   0.300 JN92PL     Antena M,Podgorica/Sjenica (PG) 
       H D460   0.300 JN92NC     Urban Radio,Bar/Volujica (BR) 
         63C1   0.200 JN92NV     Radio Crne Gore 1,Savnik/Krnovska Glava (SN) 
         30FE         JN92NN     Antena M,Danilovgrad/Hotel Zeta (DG) (i)
 87.70 H D450   1.000 JN92SU     Radio D,Kolasin/Bablja greda (KL) 
 87.90 V D2DE   1.000 JN93VA     Play Radio ,Bijelo Polje/Obrov (BP) 
 88.00 H 63C1   9.000 JN92MT     Radio Crne Gore 1,Niksic/Tovic-Sudina Glava (NK) 
       H        0.300 JN92JK     Elmag Radio,Kotor/Vrmac (KO) 
 88.10 V D27D   0.300 JN92PK     Srpski Radio,Podgorica (PG) 
 88.20 V D2DE   1.000 JN92JG     Play Radio ,Budva/Spas (BD) 
       H        0.100 JN92WU     Radio Berane,Berane (BA) 
                0.100 JN92LJ     Radio Svetigora,Cetinje (CT) 
 88.30   63C5                    Radio Crne Gore 2 - Radio 98,unknown 
 88.40 V D2DE   1.000 JN91PX     Play Radio ,Ulcinj/Mozura (UL) 
       H 3417   1.000 JN92VN     Radio Fatih,Plav/Gusinje (PL) 
       M        0.100 JN92LS     Radio Z,Niksic (NK) 
 88.50 H noPI   0.500 JN92IJ     Radio Tivat,Tivat (TV) 
       V D451   0.300 JN93ND     Radio D Plus,Zabljak/Pitomine (ZB) 
 88.60 M D450   1.000 JN92TS     Radio D,Podgorica/Fundina (PG) 
         3417         KN02CU     Radio Fatih,Rozaje/Bandzovo brdo (RO) 
 88.70                JN92MD     Radio Corona,Bar/Velji Grad (BR) 
 89.00   620D   1.000 JN92JK     Radio S1-CG,Kotor/Vrmac (KO) 
       H        1.000 JN93VA     ,Bijelo Polje/Obrov (BP) (c)
       M D1AE   0.300 JN92MQ     Radio 083,Niksic/Ostrog (NK) 
                      JN92SW     Srpski Radio,Mojkovac/Katunicko Brdo (MK) 
 89.10 H 63C1   3.000 JN92WU     Radio Crne Gore 1,Berane/Jejevica (BA) 
 89.20   620D   1.000 JN92JG     Radio S1-CG,Budva/Spas (BD) 
       V 620D   0.300 JN92GK     Radio S1-CG,Herceg Novi/Zvinje (HN) 
       M        0.300 JN93QI     ,Pljevlja/Tvrdas (PV) (i)
                      JN92LS     ,Niksic (NK) (i)
 89.30 H 63C5   5.000 JN92PL     Radio Crne Gore 2 - Radio 98,Podgorica/Sjenica (PG) 
 89.50 H 63C1   5.000 KN02AU     Radio Crne Gore 1,Rozaje/Kacuber (RO) 
 89.60 H 63C5   3.000 JN92MD     Radio Crne Gore 2 - Radio 98,Bar/Velji Grad (BR) 
 89.70   D451         JN92SU     Radio D Plus,Kolasin/Bablja greda (KL) 
 89.80 H        0.500 JN92MT     Radio Niksic,Niksic/Tovic-Sudina Glava (NK) 
 89.90 H 63C1   3.000 JN92XO     Radio Crne Gore 1,Plav (PL) 
 90.00 M 12EB   0.300 JN92JG     Mag Radio,Budva/Spas (BD) 
       H        0.300 KN02AU     ,Rozaje/Kacuber (RO) (i)
       H noPI   0.250 JN92GK     Radio Herceg Novi,Herceg Novi/Zvinje (HN) 
 90.10 V 620D   0.800 JN92LJ     Radio S1-CG,Cetinje (CT) 
 90.20 M D451   1.000 JN92TS     Radio D Plus,Podgorica/Fundina (PG) 
 90.30 M 61D4   1.000 JN92MT     Drugacija Radio Stanica (D.R.S.),Niksic/Tovic-Sudina Glava (NK) 
 90.40 V        1.000 JN91PX     ,Ulcinj/Mozura (UL) (c)
                      JN91PX     Radio Teuta,Ulcinj/Mozura (UL) 
 90.50 V        1.000 JN93VA     ,Bijelo Polje/Obrov (BP) (p)
 90.70          1.000 JN92MQ     ,Niksic/Ostrog (NK) (c)
       M 12EB   0.300 JN92PL     Mag Radio,Podgorica/Sjenica (PG) 
                      JN92XV     Radio Petnjica,Petnjica 
 90.80   noPI         JN92HJ     Radio Tivat,Tivat/Lustica (TV) 
 90.90 H D2DE   0.250 JN92NW     Play Radio ,Savnik/Pjesivac Kosice (SN) 
       V        0.100 JN92XO     ,Plav (PL) (p)
         3417         JN92XN     Radio Fatih,Plav/Kofiljaca (PL) 
