 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 36.37                IM75CK     Hit Radio,unknown, Tanger area (1) 
 50.02          0.003            CN8MC,Rabat IM64OF (4) 
 62.00                IM75CK     Medradio,unknown, Tanger area (1) 
 62.15                IM75CK     Medradio,unknown, Tanger area (1) (u)
 62.27   111B         IM75CK     Medradio,unknown, Tanger area (1) 
 62.29   111B         IM75CK     Medradio,unknown, Tanger area (1) 
 62.72                IM75CK     unid,unknown, Tanger area (1) 
 87.60 H 1202  12.000 IM84PX     SNRT Chaine Inter,Zaio (2) 
       H 1201   6.000 IM62NV     SNRT Al Idaa Al-Watania,Khouribga (5) 
       V 1201   5.010 IM75DT     SNRT Al Idaa Al-Watania,Tanger (1) 
       V 1281   5.000 IM63FK     Medi 1,Casablanca/Merchiche (6) 
       V 1201   1.000 IM73NT     SNRT Al Idaa Al-Watania,Sefrou (3) 
       V        1.000 IM62SC     SNRT Chaine Inter,Ait Ouaarda (5) 
       V 1204   1.000 IM51NA     SNRT Quran,Imintanoute (7) 
 87.70 H 1201  12.000 IM64QG     SNRT Al Idaa Al Amazighia,Kenitra/Mehdia (4) 
       V       10.000 IM50NK     MFM Souss,Taroudant (9) 
       H        3.160 IM72RN     SNRT Al Idaa Al Amazighia,Takatissoufra (8) 
       V 1116   2.000 IM73WA     Aswat,Missour (3) 
       V 1201   1.000            SNRT Al Idaa Al-Watania,Midelt (8) 
 87.80 H        5.000 IM52IH     SNRT Quran,Safi (7) 
       V 1357   3.000 IM75HL     Atlantic Radio,Tetouan/Hafa Safa (1) 
       V 135A   1.000 IM94BQ     Medina FM,Oujda (2) 
       V        1.000 IM72BT     SNRT Al Idaa Al-Watania,Aoumana (5) 
       V 125B   0.500 IM80AV     Medradio,Taouz (8) 
 87.90 H 1202  20.000 IM63OW     SNRT Chaine Inter,Rabat/Zaer (4) 
       H 1C01  20.000 IM50HE     SNRT Radio Regionale de Agadir,Agadir/Biougra (9) 
       H 1201   3.160 IM71FM     SNRT Al Idaa Al-Watania,Tinghir=Tinerhir (8) 
       V        1.000 IL59AN     Hit Radio,Mireleft (10) 
       V 1116   0.500 IM74QM     Aswat,Taounate (3) 
 88.00 H 1201  20.000 IM92AN     SNRT Al Idaa Al-Watania,Bouarfa/Djebel Bouarfa (2) 
       V        1.000 IM74XF     Cap Radio,Taza (3) 
       V 111B   1.000 IM70CH     Medradio,Zagora (8) 
       V 125B   1.000 IM62AL     Medradio,Skhour des Rehamna (7) 
       V        1.000            SNRT Al Idaa Al-Watania,Aoufous (8) 
       V        0.500            ,Souk Tnine des Ouled Boughadi (5) (p)
       V        0.200 IM73UL     SNRT Al Idaa Al-Watania,Imouzzer Marmoucha (3) 
       V        0.200 IM71GS     SNRT Al Idaa Al-Watania,Aït Hani (8) 
         1259         IM50OJ     Chada FM,Taroudant (9) 
                      IL48IL     Medi 1,Tan-Tan Plage/El Ouatia (10) 
                      IM65WF     SNRT Al Idaa Al-Watania,Larache (1) 
                      IM65XG     SNRT Al Idaa Al-Watania,Krimda (1) 
 88.10 V 111C  10.000 IM73KK     Radio Mars,Ifrane/Azougar (3) 
       V        1.260 IM50NK     Chada FM,Taroudant (9) 
       V        1.260 IM85CA     SNRT Al Idaa Al-Watania,Touzarine (2) 
       V 1283   1.000 IM92ID     MFM Acharq,Figuig (2) 
       V        1.000 IL49XA     Radio Plus,Guelmim/Fogo (10) 
       V 1201   1.000            SNRT Al Idaa Al-Watania,Aghbalou N'Kerdous (8) 
       V        0.500 IM72TG     SNRT Al Idaa Al-Watania,Rich=Er-Rich (8) 
 88.20 H 1204  20.000 IM72UB     SNRT Quran,Errachidia/Jebel Izeft (8) 
       V 125B   5.000 IM63EM     Medradio,Casablanca/Aïn Chock (6) 
       H 1001   2.000 IL69AR     SNRT Al Idaa Al-Watania,Tata (9) 
       V        1.580            SNRT Al Idaa Al-Watania,Tagmoute 1 (9) 
       V        1.000 IM74XT     SNRT Al Idaa Al-Watania,Bouzineb (3) 
       V        0.320            ,Mokrisset (1) (p)
 88.30 H 125B   2.000 IM74MB     Medradio,Fès/Dhar Mehraz (3) 
       V        1.000 IM80AV     MFM Souss,Taouz (8) 
       V        1.000 IM70FA     SNRT Al Idaa Al Amazighia,Tagounite (8) 
       V        1.000 IM83AL     SNRT Al Idaa Al-Watania,Oulad Ali=Ouled Ali Youssef (3) 
       V        1.000 IM62SB     SNRT Al Idaa Al-Watania,Ouaouizart (5) 
       V        1.000 IM50VH     SNRT Al Idaa Al-Watania,Azagar N'Ris (9) 
         1204                    SNRT Quran,unknown site 
 88.40 H 1201  10.000 IL49XA     SNRT Al Idaa Al-Watania,Guelmim/Fogo (10) 
       V 1283   5.000 IM84RH     MFM Acharq,Boukhouali (Taourirt) (2) 
       V        4.000 IM52IH     ,Safi (7) (p)
       V        1.580            SNRT Al Idaa Al-Watania,Foum Lahcen (9) 
       V        1.000 IL59DQ     Medradio,Tiznit (9) 
       V        1.000 IM81EW     SNRT Al Idaa Al-Watania,Boudnib (8) 
       V        1.000 IM50VP     SNRT Al Idaa Al-Watania,Aoulouz (9) 
       V 1201   1.000 IM73SP     SNRT Al Idaa Al-Watania,Adrej (3) 
 88.50 V 1201   8.900 IL58GO     SNRT Al Idaa Al-Watania,Assa (10) 
       V 1281   3.000 IM85AF     Medi 1,Al Hoceïma/Palomas (1) 
       V        2.500 IL59KS     Aswat,Tafraoute (9) 
       V        2.000 IM71MQ     SNRT Al Idaa Al-Watania,Goulmima (8) 
       V 1201   1.000 IM53VC     SNRT Al Idaa Al-Watania,El Jadida/Sidi Bounouara (6) 
       V        1.000 IM51DF     ,Smimou (7) (p)
                1.000            ,Imi N'Tlit (7) (p)
       V        0.316 IM73WA     SNRT Al Idaa Al-Watania,Missour (3) 
 88.60 V        3.160 IM60AM     SNRT Al Idaa Al-Watania,Taliouine=Taliwine Ville (9) 
       V 125B   2.000 IM61BF     Medradio,Marrakech/Oukaïmeden (7) 
       V 125B   2.000 IM74VB     Medradio,Taza/Jebel Tazakka (3) 
       V        1.000 IM61LR     SNRT Al Idaa Al-Watania,Demnate (5) 
       V        0.500 IM63QM     SNRT Al Idaa Al-Watania,Rommani (4) 
                      IM82GH     SNRT Al Idaa Al-Watania,Beni Tajjite (2) 
         1201         IM75CK     SNRT Chaine Inter,unknown, Tanger area (1) 
 88.70 H 1204  20.000 IM75BS     SNRT Quran,Tanger/Cap Spartel (1) 
       V 1118   1.000 IM71VK     Hit Radio,Erfoud (8) 
       V        1.000 IL49XA     Medradio,Guelmim/Fogo (10) 
       V        1.000 IM50OJ     MFM Souss,Taroudant (9) 
       V        0.500 IM61WF     SNRT Al Idaa Al-Watania,Kalaat M'Gouna=El-Kelaa M'Gouna (8) 
       V 1283         IM63EK     MFM Acharq,Casablanca=Dar el-Beida (6) 
                      IM60SQ     SNRT Al Idaa Al-Watania,Agdz (8) 
                      IM75CT     SNRT Reg Tanger,Tanger (1) 
 88.80 H 1201  10.000 IM74GA     SNRT Al Idaa Al-Watania,Meknès/Jebel Zerhoune (3) 
       V 111C   3.160 IM92ID     Radio Mars,Figuig (2) 
       V 1001   3.160 IL58HA     SNRT Al Idaa Al-Watania,Zag (10) 
       V        1.000 IM50SB     SNRT Al Idaa Al-Watania,Igherm (9) 
