 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.42 H        0.050            PI7SIX,Rotterdam JO21FV 
 50.45          0.050            PA3FTL,Nibbixwwold JO22MQ 
 87.60 V 83D2  25.000 JO32EV     Radio 10,Smilde/Cellnex Toren (DRE) 
       V 831C   8.500 JO21TK     Omroep Brabant,Mierlo/Cellnex Toren (NBR) 
       V 8563   1.000 JO32KF     Joy Radio,Enschede/Deltaflat (OVE) 
       V 8093   0.790 JO22CA     WOS Radio,Naaldwijk/Hoge Woerd (ZHO) 
       V 8204   0.014 JO21FM     NPO Radio 4,Roosendaal/Cellnex Toren (NBR) 
       V 8001   0.010 JO22WF     Kerkradio Apeldoorn,Apeldoorn/Torenberg (GEL) 
 87.70 V 83D2 114.815 JO22RM     Radio 10,Lelystad/Cellnex Toren (FLE) 
       V D390   0.100 JO20TU     BFBS Radio,Maastricht/Cellnex Toren (LIM) (c)
       V 8888   0.050 JO22IA     Low Power FM,Gouda/Ridder van Catsweg (ZHO) 
 87.80 V 83D2   0.600 JO22NC     Radio 10,Utrecht/NH Hotel (UTR) 
       V 83D3   0.500 JO21WX     100% NL,Arnhem/TenneT Toren (GEL) 
       V 8888   0.200 JJ21AA     Low Power FM,Rotterdam-Hoogvliet/Overwolde (ZHO) (p)
       V 80FF   0.100 JO21LK     Omroep Baarle,Baarle-Nassau/Schaluinen (NBR) 
 87.90 V 841B  15.000 JO11WM     Omroep Zeeland,Goes/Cellnex Toren (ZEE) 
       V 83D2   7.900 JO21PP     Radio 10,Vught/Eikendonck (NBR) 
 88.00 V 8202  90.000 JO32EV     NPO Radio 2,Smilde/Cellnex Toren (DRE) 
       V 8419   0.320 JO22FE     Omroep West,Oegstgeest/Kwaaklaan (ZHO) 
 88.10 V 83D2   3.000 JO22NG     Radio 10,Hilversum/Media Park (NHO) 
       V 83D2   0.200 JO22JO     Radio 10,Alkmaar/Cellnex Mast (NHO) 
 88.20 V 8202 100.000 JO21XE     NPO Radio 2,Roermond/Cellnex Toren (LIM) 
       V 83D3   1.000 JO22WD     100% NL,Ugchelen/Cellnex Toren (GEL) 
       V 82A5   0.100 JO22EC     SLAM!,Den Haag/Cellnex Toren (ZHO) 
 88.30 V 83D3   2.000 JO22MV     100% NL,Wieringerwerf/Robbenoordbos (NHO) 
 88.40 V 82A5  43.000 JO21FM     SLAM!,Roosendaal/Cellnex Toren (NBR) 
 88.50 V 8421   0.200 JO21WV     RADIONL,Elst/Newtonweg (GEL) 
 88.60 V 8203  40.000 JO32EV     NPO 3FM,Smilde/Cellnex Toren (DRE) 
       V 83D1  25.700 JO21TK     BNR Nieuwsradio,Mierlo/Cellnex Toren (NBR) 
       V 82A5   0.500 JO22DA     SLAM!,Rijswijk/Flat Molenvoorde (ZHO) 
       V 82A5   0.107 JO21FV     SLAM!,Rotterdam/Cellnex Toren Waalhaven (ZHO) 
 88.70 V        1.200 JO22WF     ,Hoog Soeren/Pomphulweg (GEL) (c)
       V 8618   0.790 JO22JO     NH Radio,Alkmaar/Cellnex Mast (NHO) 
       V 8618   0.300 JO22NG     NH Radio,Hilversum/Media Park (NHO) 
