 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 36.85                KM71OV     Alhorya Radio,Ramallah (WEB) 
 87.50 V        1.200 KM71NR     Radio Isis FM,Bethlehem (WEB) 
 87.80                KM71OV     NHK Tokio,Ramallah (WEB) 
                                 Yaboos 87.8,Jerusalem 
 88.20   42E5  16.000 KM72OA     KAN 88,Atara (WEB) 
                4.000 KM72OC     KAN 88,Ariel (WEB) 
         82EE         KM71NN     Holy Quran Radio,Hebron (WEB) 
 88.40   82EE         KM71PS     Holy Quran Radio,Jerusalem (WEB) 
 88.60                KM72LE     Alshamal Radio,Qalqiliya=Qalqilia (WEB) 
 88.70                KM71NN     Rabea FM,Hebron (WEB) 
 88.80          0.500 KM71RS     KAN MaKan,Kalya (WEB) 
 88.90                KM71FM     Athan FM 88.9,Gaza (GAZ) 
 89.00   5643         KM71NN     Sawt al-Janoub (Voice of the South),Hebron (WEB) 
 89.40                KM71RU     Al-Qamar Radio,Jericho (WEB) 
 89.60 V              KM71NR     Radio Bethlehem 2000,Bethlehem (WEB) 
 89.80                KM71NN     BBC WS Arabic,Hebron (WEB) 
                      KM71OV     Eco FM,Ramallah (WEB) 
                      KM72PF     Radio Amwaj,Nablus (WEB) 
 90.00                KM71FM     Radio Shabab Philestine,Gaza (GAZ) 
 90.40 V        0.200 KM71NN     Hebron Radio/One Voice Palestine,Hebron (WEB) 
                      KM72MH     Fajer Fm,Tulkarem (WEB) 
 90.50          0.500 KM71RS     KAN Reshet Moreshet,Kalya (WEB) 
       H        0.120 KM71OV     KAN Gimmel,Ramallah/Psagot (WEB) 
 90.60                KM71FM     Hawwa Radio,Gaza (GAZ) 
 90.70   A555         KM71OV     PBC Saout'il Philestine,Ramallah (WEB) 
 91.10                           One FM,Hebron (WEB) 
 91.20 V              KM72PK     Farah Radio,Jenin=Jeneen (WEB) 
 91.30          0.500 KM71RS     KAN Kol HaMusika,Kalya (WEB) 
 91.40 V FA22         KM72OF     Najah FM,Nablus/An-Najah University (WEB) 
 91.50                KM71FM     Idhaat al Quran al Karim al Taelimiat,Gaza (GAZ) 
                      KM71OV     Radio Amwaj,Ramallah (WEB) 
 91.60   A221         KM72OB     Radio Zaytona FM,Salfit (WEB) 
 91.80                           BBC WS Arabic,Nablus (WEB) 
 92.00                KM71FM     Manar FM,Gaza (GAZ) 
 92.10 V              KM71NR     Kol Barama,Bethlehem (WEB) 
       V              KM71OX     Radio BZU Outloud,Birzeit/University (WEB) 
 92.50   4202  16.000 KM72OA     KAN Reshet Moreshet,Atara (WEB) 
 92.60   8205         KM71OV     Radio Angham,Ramallah (WEB) 
                                 Ramallah FM,unknown 
 92.70 V F927   1.000 KM71NN     Al-Horriya FM,Hebron/Ras Al-Jura (WEB) 
 92.80   8202         KM72PK     Radio Ajyal,Jenin=Jeneen (WEB) 
 93.20                KM72PK     Radio Zain,Jenin=Jeneen (WEB) 
 93.30                KM71NN     Radio Angham,Hebron (WEB) 
 93.50 V        0.500 KM72PF     Radio Nablus,Nablus (WEB) 
                                 Nawras Radio,Jericho 
       V              KM72PK     Radio Sawa,Jenin=Jeneen (WEB) 
       V              KM71NN     Sirajj Radio,Hebron (WEB) 
 93.60   4250         KM71OV     Radio Mawtiny,Ramallah (WEB) 
 93.70   4202  16.000 KM72OA     KAN MaKan,Atara (WEB) 
       V        1.000 KM71NN     Radio Al-Nawras,Hebron (WEB) (i)
         42E4         KM71PT     KAN MaKan,Ma'ale Adumim (WEB) 
 93.80                KM72LE     Radio Ajyal,Qalqiliya=Qalqilia (WEB) 
 93.90                KM71PS     Minbar Alquds,Jerusalem (WEB) 
                                 Radio Oroba,Hebron (WEB) 
 94.10                KM71FM     Radio Alwan FM,Gaza (GAZ) 
 94.20 V 3D44         KM71OV     Radio Sawa,Ramallah (WEB) 
 94.50                           Radio Sawa Jordanien,Nablus (WEB) 
