 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 88.00                KN02NP     AFN Balkans,Prishtina=Pristina (KOS) 
 88.10   D04E         KN02NJ     AFN PowerNet,Ferizaj=Urosevac/Camp Bondsteel (KOS) 
         A000         KN02OV     Radio Vizioni,Podujevë=Podujevo (KOS) 
 88.20          0.800 KN02KP     Radio Dodona,Drenas=Glogovac (KOS) 
 88.40   noPI         KN02IF     Radio Prizreni,Prizren (KOS) 
 88.50                KN02RM     RTK-Radio Kosova 1,Maja e Gjelbërt=Zeleni Vrh (KOS) 
 88.60 V 450A   1.000 KN02NP     Glam Radio,Prishtina=Pristina (KOS) 
 88.90   92C3         KN02HK     RTK-Radio Kosova 1,Zatriq=Zatric (KOS) 
 89.00          0.050 KN02NO     Radio Antenna,Prishtina=Pristina/Çagllavicë=Caglavica (KOS) 
 89.10                KN02IV     Radio Kolasin,Zubin Potok (KOS) 
 89.40   FFFF         KN02KD     Radio Astra,Lubinjë e Epërme=Gornje Ljubinje (KOS) 
 89.60                KN02KV     Radio France Internationale (RFI),Mitrovicë=Kosovska Mitrovica/Crnusha (KOS) 
                      KN02MK     Radio Zeri i Shtimes,Shtime=Stimlje (KOS) 
 89.70   D202         KN02IF     Radio K4 Srpski,Prizren (KOS) 
 89.80   D055         KN02NP     Radio Prishtina,Prishtina=Pristina (KOS) 
 89.90                KN02JI     Radio Andernach,Suva Reka (KOS) 
 90.20   D201   2.000 KN02LN     Radio K4 Shqip,Golesh=Goles (KOS) 
 90.50   D095         KN02JL     Radio Malisheva,Malisevo (KOS) 
                      KN02RM     RTK-Radio Kosova 2,Maja e Gjelbërt=Zeleni Vrh (KOS) 
 90.70   D097         KN02OO     Radio Gracanica,Prishtina=Pristina/Graçanicë=Gracanica (KOS) 
 90.80          0.500 KN02DM     Top Iliria Radio,Deçan=Decani (KOS) 
 91.10          0.700 KN02NQ     Top Kosova Radio,Prishtina=Pristina (KOS) 
 91.20                KN02HO     Radio Alba,Klina (KOS) 
 91.50                KN02KV     RTK-Radio Kosova 2,Mitrovicë=Kosovska Mitrovica/Crnusha (KOS) 
