 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 87.70 H 5340 100.000 KN08RV     Fun Radio,Kosice/Dubnik (KE) 
       H 5354  10.000 JN98MR     Radio Jemne,Banska Bystrica/Sucha hora (BB) 
 87.80 V 5354   0.500 JN98AH     Radio Jemne,Nitra/Klokocina-vodaren (NR) 
 87.90 V 534F   0.500 JN99JK     Europa 2,Cadca/Drahosanka (ZA) 
       V 5218   0.500 JN99PF     Radio Vlna,Dolný Kubin/Brezovec (ZA) 
 88.00 H 5354   8.500 JN88UU     Radio Jemne,Nove Mesto nad Vahom/Velka Javorina (TN) 
       V 5355   0.050 JN88LE     Radio Best FM,Bratislava/Devinska Nova Ves-vodaren (BA) 
 88.10 H 5218   0.250 KN08KO     Radio Vlna,Turna nad Bodvou (KE) 
       V 5355   0.200 JN98IL     Radio Best FM,Zarnovica/Sandricka 7 (silo) (BB) 
       V 5355   0.200 JN98NO     Radio Best FM,Zvolen/Mala Straz (BB) 
 88.20 H 5960  10.000 JN98UG     SRo 2 Radio Regina,Lucenec/Blatný vrch (BB) 
       V        0.500 JN99IG     ,Zilina/Povazský Chlmec-Na Hôrke (ZA) (p)
       V 5355   0.200 JN98AH     Radio Best FM,Nitra/Klokocina-vodaren (NR) 
 88.30 V 5566   0.300 JN99EC     Radio Muzika,Puchov/Kpt. Jarosa (silo) (TN) 
 88.40 V 521D   1.000 JN88VI     Radio Expres,Hlohovec-Dvorniky/Nad Brodom (TT) 
       V 521D   1.000 JN99PB     Radio Expres,Ruzomberok/Malinô Brdo (ZA) 
 88.50 H 5218  10.000 KN18CX     Radio Vlna,Snina/Magurica (PO) 
       H 5960  10.000 JN98PF     SRo 2 Radio Regina,Modrý Kamen/Spani Laz (BB) 
       H 5566   0.150 JN98CX     Radio Muzika,Dubnica nad Vahom/Kollarova ulica (TN) 
 88.60 H 5D60   1.000 KN08GO     SRo 2 Radio Regina,Roznava/Dievcenska skala (KE) 
