 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.06 V        0.008 JO68WQ     SK6QW,Nr Mariestad/Förrådsgatan (VG) 
 50.46 V        0.005 JO97DP     SA1CKI,Visby (GO) 
 50.46 H        0.007 JP73HC     SK3SIX,Östersund/Brattåsen (JM) 
 50.49 V        0.001 KP15BO     SL2ZZU,Luleå/Notviken (NO) 
 87.60 V E201  60.000 JO97EO     SR P1,Visby/Follingbo TM (GO) 
       V E201  60.000 JP81KQ     SR P1,Hudiksvall/Forsa-Storberget TM (GA) 
       H E201  60.000 JP85LB     SR P1,Storuman/Norrberg TM (VB) 
       V E241   7.000 JO69QJ     RIX FM,Karlstad/Sörmon TM (VR) 
       V E0D7   0.500 JP93IM     Pop och Rock, Radio Nolaskogs, Radio Örnsköldsvik, Radio Korsväg, Studio Eim, Semesterpratarna,Björna/Sunnansjölid TM (VN) 
       V E201   0.300 KP15BO     SR P1,Luleå/Mjölkuddsberget TM (NO) 
       H E201   0.300 JO75DO     SR P1,Simrishamn/Baskemölla Gladsax Ekevall TM (SN) 
       H E201   0.300 JO58PQ     SR P1,Grebbestad/TM (VG) 
       H E201   0.300 KP18GJ     SR P1,Karesuando/Kaarevaara TM (NO) 
       V E241   0.250 JO89HB     RIX FM,Flen/Öja RM (SO) 
       V E220   0.200 JO68SE     NRJ,Falköping/Mösseberg TM (VG) 
       V E2A6   0.150 JO99AE     Lugna Klassiker,Haninge/Trångsund Lissma/Comviq RM (ST) 
       V E243   0.100 JO77MP     Mix Megapol,Eksjö/Högefälle (JO) 
       H E201   0.050 KP16WP     SR P1,Svanstein/Kynisvaara TM (NO) 
       H E201   0.030 JP98TF     SR P1,Torneträsk/Kiruna Torneträsk TM (NO) 
       V EB42   0.020 JO67DS     Mix Megapol,Lerum/Gamlebo 3:12 (VG) 
 87.70 V E201  60.000 JO66LS     SR P1,Halmstad/Oskarström/Teracoms mast Fjällgime (HA) 
       V E241   0.500 JO78NH     RIX FM,Mjölby/Vattentorn (OG) 
       V        0.490 JP62PL     Radio Härjedalen,Hede/Långåvålen (JM) (p)
       V E241   0.300 JO99IS     RIX FM,Norrtälje/Södra Bergen VT (ST) 
       V E201   0.250 JP80CC     SR P1,Avesta/Krylbo (DA) 
       V        0.250 JO69LD     ,Säffle/Treabackarna M1 TM (VR) (c)
       H E201   0.100 JP83EO     SR P1,Ramsele/Skavåsen TM (VN) 
 87.80 V E245   2.000 KP04DP     Star FM,Boliden/Burträsk/Store Blåbergsliden RM (VB) (p)
       V E243   0.500 JO69CU     Mix Megapol,Koppom/Åmotfors/Valfjället Europolitan TM (VR) 
       V E220   0.500 JO87FG     NRJ,Oskarshamn/Lilla Marksvägen/Comviq Mast (KA) 
       V E224   0.500 JO76PF     SR P4,Ronneby/Kallinge/Kalleberga/Djupadal/Vattentorn (BL) 
       V        0.500 KP04DP     ,Boliden/Burträsk/Store Blåbergsliden RM (VB) (c)
       H E243   0.300 JO65VL     Mix Megapol,Ystad/Hedeskoga Sopstation (SN) 
