 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 87.60 H 7205  72.400 JM53MM     RTT Radio Tataouine,Zarzis (MED) 
         7229         JM56JT     Radio iFM,Kef-Errand (NAB) 
 87.70 V 7212   4.000 JM45TN     RTT Radio Culture,Kairouan/Djebel Trozza (KAI) 
 87.80 H 7206   1.000 JM43LR     RTT Radio Gafsa,Kebili=Qibili (KEB) 
       V 7207   1.000 JM57CE     RTT Radio Nationale,Raf Raf 
 87.90 H        4.000 JM52FC     ,Remada (TAT) (p)
       V 7277   1.000            Al Karma FM,Mezzouna 
 88.00 H 7211  80.000 JM56BI     Radio Zitouna FM,Zaghouan/Djebel Zaghouan (ZAG) 
       V        1.000 JM53AT     ,Gabès/El M Dou (GAB) (p)
 88.10 H 7205   1.000 JM52FW     RTT Radio Tataouine,Tataounie/Brourmet (TAT) 
 88.20 H 7208  49.000 JM45IE     RTT Radio Kef,Kasserine/Djebel ech Chambi (KAS) 
       H       27.000 JM44OK     Mosaïque FM,Gafsa/Djebel Biadha (GAF) 
       V 7202   0.900 JM45NV     RTT R.Tunis Chaine Int.,Maktar/Souk Jomaa (KAS) 
         7209         JM53AT     Mosaïque FM,Gabès/El M Dou (GAB) 
 88.30 H        2.818 JM47XC     ,Bizerte/Djebel Kochabta [Kchabta] (BIZ) (p)
         7206         JM43BW     RTT Radio Gafsa,Tozeur (TOZ) 
 88.40 V 7238   0.100 JM55IM     Nejma FM,Zeramdine (MON) 
 88.50 H 7204   0.500 JM54NQ     RTT Radio Sfax,Kerkennah (SFA) 
 88.60 H 7218   5.000 JM56EQ     Saraha FM,Ben Arous/Djebel Bou-Kornine (TUN) 
       V        1.000 JM52FW     ,Tataounie/Brourmet (TAT) (p)
       H 7208   0.075 JM45ER     RTT Radio Kef,Aïn-Senan (ELK) 
 88.70 V 7213  28.200 JM44OK     Shems FM,Gafsa/Djebel Biadha (GAF) 
 88.90 V 7238   5.000 JM55MM     Nejma FM,Mahdia (MAH) 
       H 7207   4.200 JM52FC     RTT Radio Nationale,Remada (TAT) 
       V 7209   1.400 JM56JL     Mosaïque FM,Nabeul/Beni Khiar (NAB) 
 89.00 V 7217   3.800 JM45TN     Radio Sabra FM,Kairouan/Djebel Trozza (KAI) 
       H 7204   1.000 JM54BH     RTT Radio Sfax,Skhira (SFA) 
 89.10 H 7201   3.800 JM46NL     RTT Radio Jeunes,Beja/Gorraa (BEJ) 
 89.20 H 7209   5.600 JM53MM     Mosaïque FM,Zarzis (MED) 
       H 7206   1.000 JM43BW     RTT Radio Gafsa,Tozeur (TOZ) 
 89.40 V        9.000 JM55IM     ,Zeramdine (MON) (p)
       H 7210   1.000 JM55BQ     Jawhara FM,Kairouan=Al-Qayrawan (KAI) 
 89.50 H 7205   3.162 JM52GT     RTT Radio Tataouine,Techout (TAT) 
       H 7212   2.800 JM47XC     RTT Radio Culture,Bizerte/Djebel Kochabta [Kchabta] (BIZ) 
 89.60 H 7201  49.000 JM45IE     RTT Radio Jeunes,Kasserine/Djebel ech Chambi (KAS) 
 89.70 H        1.400 JM33WV     Radio iFM,Nefta (TOZ) 
 89.80 V 7207   7.100 JM56JT     RTT Radio Nationale,Kef-Errand (NAB) 
 89.90 H 7211  60.000 JM54IW     Radio Zitouna FM,Sfax/El-Ghraba (SFA) 
       V 7229   1.000 JM52FW     Radio iFM,Tataounie/Brourmet (TAT) 
 90.00 H 7220   2.800 JM47XC     Oxygène FM,Bizerte/Djebel Kochabta [Kchabta] (BIZ) 
       V 7208   0.200 JM46LG     RTT Radio Kef,Medhrene (ELK) 
 90.10   7209         JM56BI     Mosaïque FM,Zaghouan/Djebel Zaghouan (ZAG) 
 90.20 H 7201   1.000 JM53AT     RTT Radio Jeunes,Gabès/El M Dou (GAB) 
 90.30 H 7201  80.000 JM52FC     RTT Radio Jeunes,Remada (TAT) 
       H 7208   5.600 JM46IS     RTT Radio Kef,Aïn Draham/Djebel Al-Bi'r (JEN) 
       H 7209   0.100 JM56EQ     Mosaïque FM,Ben Arous/Djebel Bou-Kornine (TUN) 
                      JM34XJ     Radio Zitouna FM,Tamaghza (TOZ) 
 90.50 V 7277  30.000 JM44OK     Al Karma FM,Gafsa/Djebel Biadha (GAF) 
 90.60 M 7203   1.500 JM55LK     RTT Radio Monastir,Ksour-Essaf (MAH) 
         7213         JM55JS     Shems FM,Monastir (MON) 
 90.70 H 7212  72.400 JM53MM     RTT Radio Culture,Zarzis (MED) 
       V 7210   5.000 JM56EQ     Jawhara FM,Ben Arous/Djebel Bou-Kornine (TUN) 
 90.80 H 7201   5.000 JM45TN     RTT Radio Jeunes,Kairouan/Djebel Trozza (KAI) 
 90.90 V        6.000 JM44IG     Mines FM Sawt el-Manajem,Mdhilla (GAF) 
       V        3.200 JM46IS     RTT Radio Nationale,Aïn Draham/Djebel Al-Bi'r (JEN) 
       V 7207   1.000 JM43AH     RTT Radio Nationale,Rjim Maatoug 
 91.00   F225         JM55LK     Mahdia FM - MFM,Ksour-Essaf (MAH) 
 91.10 H 7209  50.000 JM45IE     Mosaïque FM,Kasserine/Djebel ech Chambi (KAS) 
         7214         JM55HT     Express FM,Sousse (SOU) 
