 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 87.60 V 8760         LL75VP     Ras Al Khaimah Holy Quran Radio,Al Jazirah Al Hamra (RAK) 
 87.70 V A730   5.000 LL64HE     Al-Quran al-Karim,Jebel Dhana (ABD) 
 87.90 V AD06   1.000 LL75NA     Abu Dhabi Classic FM,Dubai/Jebel Ali Teleport (DUB) 
 88.20 V A719   1.000 LL75OD     Al-Quran al-Karim,Dubai/Jumeirah (DUB) 
 88.40 V A710   4.000 LL74VB     Bahrain,Al-Ain/Jebel Hafit (ABD) 
 88.50 V       10.000 LL75XT     Al Emarat FM,Ras Al-Khaimah (RAK) 
 88.60 V A723   1.000 LL74VB     Al-Quran al-Karim,Al-Ain/Jebel Hafit (ABD) 
 88.80 V        5.000 LL63SS     Al-Quran al-Karim,Habshan (ABD) 
       V A713   5.000 LL75PF     Kadak FM,Dubai/Emirates Tower (DUB) 
       V        4.000 LL74VB     ,Al-Ain/Jebel Hafit (ABD) (p)
                      LL85DO     Sharjah Quran Radio Station,Dibba Al Hisn (SHJ) 
 89.10 V D2B4   1.000 LL75RK     Radio 4 FM,Ajman (AJM) 
 89.30 V        5.000 LL63VD     Al-Quran al-Karim,Liwa Oasis (ABD) 
       V        0.160 LL85EI     ,Khor Fakkan (FJR) (p)
 89.40   DAAD         LL75PG     Tamil FM,Dubai (DUB) 
 89.50 V        0.500 LL85CE     Hello FM,Fujairah (FJR) 
 89.70 V A732  10.000 LL75XT     Abu Dhabi FM,Ras Al-Khaimah (RAK) 
       V        5.000            ,Abu Dhabi/Al Mushref (ABD) (p)
       V        4.000 LL74VB     ,Al-Ain/Jebel Hafit (ABD) (p)
         A727                    Sky News Arabiyah,unknown 
 90.00 V A702   2.000 LL74HH     Abu Dhabi FM,Abu Dhabi/Mahawi (ABD) 
 90.30 V A709   1.000 LL74HH     Sky News Arabiyah,Abu Dhabi/Mahawi (ABD) 
 90.50 V A720   1.000 LL75OD     Sky News Arabiyah,Dubai/Jumeirah (DUB) 
 90.70 V        0.500 LL85CE     ,Fujairah (FJR) (c)
 90.80 V D2A5   1.000 LL75RK     Auto Radio,Ajman (AJM) 
         A803                    unknown,Abu Dhabi (ABD) 
 91.10   9110   0.500 LL75PG     Tag 91.1,Dubai (DUB) 
 91.20 V        5.000 LL64HE     ,Jebel Dhana (ABD) (p)
 91.40 V 9140         LL75PF     Dubai Holy Quran,Dubai/World Trade Center (DUB) 
 91.60 V A706   1.000 LL74HH     Abu Dhabi Classic FM,Abu Dhabi/Mahawi (ABD) 
 92.00 V 9200   5.000 LL75PF     Dubai 92,Dubai/Emirates Tower (DUB) 
 92.20 V        5.000 LL75XT     ,Ras Al-Khaimah (RAK) (c)
 92.40 V A701   5.000 LL64HE     Al Emarat FM,Jebel Dhana (ABD) 
       V A704   1.000 LL74HH     Star FM,Abu Dhabi/Mahawi (ABD) 
 92.60 V D895   2.000 LL85CE     92.6 FM,Fujairah (FJR) 
 93.00 V 3152   5.000 LL75PF     Dubai Radio 93,Dubai/Emirates Tower (DUB) 
 93.40   9340   0.500 LL75PG     Radio Shoma,Dubai (DUB) 
 93.50 V        4.000 LL74VB     ,Al-Ain/Jebel Hafit (ABD) (p)
       V        1.000 LL74HH     Voice of the UAE/Capital Radio,Abu Dhabi/Mahawi (ABD) (i)
