 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.03                           US0SIX,Ivano-Frankivs'k KN28JW (IF) 
 65.90 H        0.300 KN74BV     ,Simferopol'/TRK Tsentr, nasosna stantsiya (KR) (i)
 65.93 H       17.000 KO61RU     UR 1 Persha Prog.,Shostka/SFKRRT, vul. Korotchenka, 88 (SU) (i)
 65.96 H        0.320 KN79NT     UR 1 Persha Prog.,Iskrovka/PFKRRT, vul. Gagarina, 1 (PO) 
 66.02 H       17.000 KO21HE     ,Kovel'/VFKRRT, vul. Varshavs'ka, 5 (VO) (c)
 66.05          0.300 KN87SO     Hromads'ke Radio,Volnovaha/DFKRRT, vul. Shevtsovoj, 1a (DO) 
                0.100 KN29QC     UR 1 Persha Prog.,Buchach/Pidzamochek, TFKRRT, vul. Ternopils'ka, 140 (TE) 
 66.08 H       17.000 KN69UP     UR 1 Persha Prog.,Krasnohorivka/PFKRRT, vul. Gogolya, 15 (PO) (i)
       H        0.200 KO30ND     UR 1 Persha Prog.,Shepetivka/vul. Titova, 1 (KM) 
 66.14 H       17.000 KN76QT     UR 3 Radio Kul'tura,Melitopol'/ZFKRRT, prosp. B. Khmel'nyts'kogo, 88 (ZP) 
       V        3.000 KN39LK     Radio Mariya v Ukraini,Khmel'nyts'kyj/KHFKRRT, prosp. Myru, 43 (KM) 
 66.26 H        0.200 KN29AU     Radio Mariya v Ukraini,L'viv/LFKRRT, Vysokyy zamok, 9 (LV) 
 66.32 H        0.200 KO30JC     UR 1 Persha Prog.,Izyaslav (KM) (i)
 66.38 V        4.000 KO61KD     UR 1 Persha Prog.,Bakhmach/Tynytsya, CHFKRRT, vul. Bakhmats'ka, 186 (CH) 
 66.41          1.500 KN28WH     Radio Mariya v Ukraini   ,Chernivtsi/CHFKRRT, vul. Bilets'ka, 6 (CV) 
                0.200 KN49KR     UR 1 Persha Prog.,Kozyatyn/Ukrtelekom, vul. Chervonoarmijs'ka, 39 (VI) 
 66.50 H       17.000 KO71DD     UR 1 Persha Prog.,Bilopillya/SFKRRT, vul. 1-go Travnya, 15 (SU) (i)
 66.53 H       17.000 KO30EO     UR 3 Radio Kul'tura,Antopil'/RFKRRT, vul. Kyivs'ka, 12 (RI) 
 66.59 H       17.000 KN45PT     UR 1 Persha Prog.,Kam'yans'ke/OORTPTS (OD) 
       H        0.085 KN29VA     UR 1 Persha Prog.,Horishnya Vyhanka/TFKRRT, vul. Televizijna, 33 (TE) 
 66.68 H       17.000 KN74BW     Radio Mayak [RUS],Simferopol'/RTPTS ARK, vul. Students'ka, 14 (KR) (i)
 66.71 H       17.000 KO61GU     UR 1 Persha Prog.,Kholmy/CHFKRRT (CH) 
 66.74 H        4.000 KN78MK     UR 3 Radio Kul'tura,Dnipro/DFKRRT, vul. Televizijna, 3 (DP) 
 66.80 H        4.000 KN65VW     Radio Krym [RUS],Krasnoperekops'k/RTPTS ARK, vul. Tavrijs'ka, 105 (KR) (i)
       H        4.000 KO21HE     ,Kovel'/VFKRRT, vul. Varshavs'ka, 5 (VO) (c)
                0.200 KN49AN     UR 1 Persha Prog.,Khmil'nyk/Velykyi Mytnyk, OKP Agroinform (VI) 
 66.86 V        0.200 KN49NF     UR 1 Persha Prog.,Lipovets'/VFKRRT, vul. Lenina, 98 (VI) 
 66.98 H       17.000 KN68DL     UR 1 Persha Prog.,Kropyvnyts'kyi/KFKRRT, vul. Sadova, 88 (KH) 
 67.04 V        4.000 KN29AU     UR 3 Radio Kul'tura,L'viv/LFKRRT, Vysokyy zamok, 9 (LV) 
 67.13 H       17.000 KO80CB     UR 1 Persha Prog.,Kharkiv/KHORTPTS, vul. Derev'yanka, 1a (KA) (i)
                0.200 KN49FA     UR 1 Persha Prog.,Tyvriv/OKP Agroinform (VI) 
 67.16 H        3.000 KN86ER     UR 3 Radio Kul'tura,Prymors'k/ZFKRRT, vul. Mors'ka, 86 (ZP) 
 67.19 H       17.000 KN28WH     UR 2 Radio Promin',Chernivtsi/CHFKRRT, vul. Bilets'ka, 6 (CV) 
